Quarter,Time,Tm,Detail,ATL,LAR,week,year,game_id
1.0,1:44,Rams,Allen Robinson 1 yard pass from Matthew Stafford (Matt Gay kick),0,7,2.0,2022,25
2.0,9:30,Rams,Darrell Henderson 8 yard rush (Matt Gay kick),0,14,2.0,2022,25
,2:44,Falcons,Younghoe Koo 26 yard field goal,3,14,2.0,2022,25
,0:14,Rams,Cooper Kupp 3 yard pass from Matthew Stafford (Matt Gay kick),3,21,2.0,2022,25
3.0,9:22,Rams,Cooper Kupp 10 yard pass from Matthew Stafford (Matt Gay kick),3,28,2.0,2022,25
,3:20,Falcons,Drake London 4 yard pass from Marcus Mariota (Younghoe Koo kick),10,28,2.0,2022,25
4.0,12:13,Rams,Matt Gay 20 yard field goal,10,31,2.0,2022,25
,8:14,Falcons,Olamide Zaccheaus 11 yard pass from Marcus Mariota (Younghoe Koo kick),17,31,2.0,2022,25
,4:57,Falcons,Lorenzo Carter 26 yard blocked punt return (Drake London pass from Marcus Mariota),25,31,2.0,2022,25
,0:06,Falcons,"Safety, Brandon Powell tackled in end zone by Dee Alford",27,31,2.0,2022,25
