Quarter,Time,Tm,Detail,MIA,BAL,week,year,game_id
1.0,14:47,Ravens,Devin Duvernay 103 yard kickoff return (Justin Tucker kick),0,7,2.0,2022,22
2.0,10:54,Dolphins,Jaylen Waddle 6 yard pass from Tua Tagovailoa (Jason Sanders kick),7,7,2.0,2022,22
,10:44,Ravens,Rashod Bateman 75 yard pass from Lamar Jackson (Justin Tucker kick),7,14,2.0,2022,22
,4:03,Ravens,Mark Andrews 1 yard pass from Lamar Jackson (Justin Tucker kick),7,21,2.0,2022,22
,0:29,Ravens,Demarcus Robinson 12 yard pass from Lamar Jackson (Justin Tucker kick),7,28,2.0,2022,22
3.0,7:52,Dolphins,Mike Gesicki 14 yard pass from Tua Tagovailoa (Jason Sanders kick),14,28,2.0,2022,22
,0:26,Ravens,Lamar Jackson 79 yard rush (Justin Tucker kick),14,35,2.0,2022,22
4.0,12:12,Dolphins,River Cracraft 2 yard pass from Tua Tagovailoa (Jason Sanders kick),21,35,2.0,2022,22
,7:47,Dolphins,Tyreek Hill 48 yard pass from Tua Tagovailoa (Jason Sanders kick),28,35,2.0,2022,22
,5:19,Dolphins,Tyreek Hill 60 yard pass from Tua Tagovailoa (Jason Sanders kick),35,35,2.0,2022,22
,2:18,Ravens,Justin Tucker 51 yard field goal,35,38,2.0,2022,22
,0:14,Dolphins,Jaylen Waddle 7 yard pass from Tua Tagovailoa (Jason Sanders kick),42,38,2.0,2022,22
