Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Tom Brady,TAM,18,34,190,1,0,1,2,41,79.3,2.0,2022,23
Leonard Fournette,TAM,0,0,0,0,0,0,0,0,,2.0,2022,23
Scott Miller,TAM,0,0,0,0,0,0,0,0,,2.0,2022,23
Rachaad White,TAM,0,0,0,0,0,0,0,0,,2.0,2022,23
Mike Evans,TAM,0,0,0,0,0,0,0,0,,2.0,2022,23
Breshad Perriman,TAM,0,0,0,0,0,0,0,0,,2.0,2022,23
Russell Gage,TAM,0,0,0,0,0,0,0,0,,2.0,2022,23
Cameron Brate,TAM,0,0,0,0,0,0,0,0,,2.0,2022,23
Cade Otton,TAM,0,0,0,0,0,0,0,0,,2.0,2022,23
Jameis Winston,NOR,25,40,236,1,3,6,28,51,55.8,2.0,2022,23
Mark Ingram,NOR,0,0,0,0,0,0,0,0,,2.0,2022,23
Dwayne Washington,NOR,0,0,0,0,0,0,0,0,,2.0,2022,23
Taysom Hill,NOR,0,0,0,0,0,0,0,0,,2.0,2022,23
Tony Jones,NOR,0,0,0,0,0,0,0,0,,2.0,2022,23
Chris Olave,NOR,0,0,0,0,0,0,0,0,,2.0,2022,23
Michael Thomas,NOR,0,0,0,0,0,0,0,0,,2.0,2022,23
Juwan Johnson,NOR,0,0,0,0,0,0,0,0,,2.0,2022,23
Jarvis Landry,NOR,0,0,0,0,0,0,0,0,,2.0,2022,23
Deonte Harty,NOR,0,0,0,0,0,0,0,0,,2.0,2022,23
Adam Prentice,NOR,0,0,0,0,0,0,0,0,,2.0,2022,23
