Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,week,year,game_id
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,,,
Donte Jackson,CAR,1,30,1,30,1,0.0,2,2,0,0,0,0,0,0,0,6.0,2022,90
Cory Littleton,CAR,0,0,0,0,0,0.5,10,6,4,0,1,0,0,0,0,6.0,2022,90
Derrick Brown,CAR,0,0,0,0,0,0.5,7,3,4,0,2,0,0,0,0,6.0,2022,90
Myles Hartsfield,CAR,0,0,0,0,0,0.0,8,6,2,1,0,0,0,0,0,6.0,2022,90
Keith Taylor,CAR,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0,6.0,2022,90
C.J. Henderson,CAR,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0,6.0,2022,90
Shaq Thompson,CAR,0,0,0,0,2,0.0,5,5,0,2,0,0,0,0,0,6.0,2022,90
Juston Burris,CAR,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,6.0,2022,90
Yetur Gross-Matos,CAR,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,6.0,2022,90
Matthew Ioannidis,CAR,0,0,0,0,0,0.0,4,0,4,0,0,0,0,0,0,6.0,2022,90
Henry Anderson,CAR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,6.0,2022,90
Brian Burns,CAR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,6.0,2022,90
Damien Wilson,CAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,6.0,2022,90
Xavier Woods,CAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,6.0,2022,90
Tae Hayes,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,6.0,2022,90
J.J. Jansen,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,6.0,2022,90
Arron Mosby,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,6.0,2022,90
Stephen Sullivan,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,6.0,2022,90
Nick Scott,LAR,1,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0,6.0,2022,90
Marquise Copeland,LAR,0,0,0,0,0,1.0,6,2,4,0,1,0,0,0,0,6.0,2022,90
Jalen Ramsey,LAR,0,0,0,0,0,1.0,3,3,0,2,1,0,0,0,0,6.0,2022,90
Ernest Jones,LAR,0,0,0,0,1,0.0,7,5,2,0,0,0,0,0,0,6.0,2022,90
Bobby Wagner,LAR,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0,6.0,2022,90
A'Shawn Robinson,LAR,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0,6.0,2022,90
Taylor Rapp,LAR,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0,6.0,2022,90
Aaron Donald,LAR,0,0,0,0,1,0.0,4,0,4,0,0,0,0,0,0,6.0,2022,90
Leonard Floyd,LAR,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0,6.0,2022,90
Justin Hollins,LAR,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0,6.0,2022,90
Derion Kendrick,LAR,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0,6.0,2022,90
Russ Yeast,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,6.0,2022,90
Jake Gervase,LAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,6.0,2022,90
Grant Haley,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,6.0,2022,90
Jake Hummel,LAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,6.0,2022,90
Terrell Lewis,LAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,6.0,2022,90
David Long,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,6.0,2022,90
Christian Rozeboom,LAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,6.0,2022,90
Jonah Williams,LAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,6.0,2022,90
