Quarter,Time,Tm,Detail,MIA,BUF,week,year,game_id
1.0,6:30,Bills,Tyler Bass 40 yard field goal,0,3,9.0,2024,126
,1:19,Dolphins,Jason Sanders 39 yard field goal,3,3,9.0,2024,126
2.0,3:20,Dolphins,De'Von Achane 14 yard pass from Tua Tagovailoa (Jason Sanders kick),10,3,9.0,2024,126
,0:07,Bills,Tyler Bass 49 yard field goal,10,6,9.0,2024,126
3.0,7:20,Bills,Mack Hollins 1 yard pass from Josh Allen (Tyler Bass kick failed),10,12,9.0,2024,126
,2:59,Dolphins,Jason Sanders 23 yard field goal,13,12,9.0,2024,126
,2:07,Bills,Ray Davis 63 yard pass from Josh Allen (Keon Coleman pass from Josh Allen),13,20,9.0,2024,126
4.0,12:14,Dolphins,De'Von Achane 8 yard rush (Jason Sanders kick),20,20,9.0,2024,126
,6:18,Bills,Quintin Morris 2 yard pass from Josh Allen (Tyler Bass kick),20,27,9.0,2024,126
,1:38,Dolphins,Jaylen Waddle 7 yard pass from Tua Tagovailoa (Jason Sanders kick),27,27,9.0,2024,126
,0:05,Bills,Tyler Bass 61 yard field goal,27,30,9.0,2024,126
