Quarter,Time,Tm,Detail,BUF,NWE,week,year,game_id
1.0,10:02,Patriots,Chad Ryland 30 yard field goal,0,3,7.0,2023,97
,6:58,Patriots,Ezekiel Elliott 2 yard rush (Chad Ryland kick),0,10,7.0,2023,97
2.0,14:49,Bills,Tyler Bass 36 yard field goal,3,10,7.0,2023,97
,7:36,Patriots,Chad Ryland 24 yard field goal,3,13,7.0,2023,97
3.0,9:53,Bills,James Cook 8 yard pass from Josh Allen (Tyler Bass kick),10,13,7.0,2023,97
,4:30,Patriots,Chad Ryland 49 yard field goal,10,16,7.0,2023,97
4.0,7:36,Patriots,Kendrick Bourne 4 yard pass from Mac Jones (run failed),10,22,7.0,2023,97
,5:32,Bills,Stefon Diggs 25 yard pass from Josh Allen (Tyler Bass kick),17,22,7.0,2023,97
,1:58,Bills,Josh Allen 1 yard rush (Dawson Knox pass from Josh Allen),25,22,7.0,2023,97
,0:12,Patriots,Mike Gesicki 1 yard pass from Mac Jones (Chad Ryland kick),25,29,7.0,2023,97
