Quarter,Time,Tm,Detail,CIN,BAL,week,year,game_id
1.0,10:02,Ravens,Gus Edwards 3 yard rush (Justin Tucker kick),0,7,11.0,2023,151
,7:32,Bengals,Evan McPherson 50 yard field goal,3,7,11.0,2023,151
2.0,5:49,Bengals,Joe Mixon 4 yard pass from Joe Burrow (Evan McPherson kick),10,7,11.0,2023,151
,2:21,Ravens,Nelson Agholor 37 yard pass from Lamar Jackson (Justin Tucker kick),10,14,11.0,2023,151
,0:23,Ravens,Rashod Bateman 10 yard pass from Lamar Jackson (Justin Tucker kick),10,21,11.0,2023,151
3.0,9:56,Bengals,Evan McPherson 26 yard field goal,13,21,11.0,2023,151
,4:02,Ravens,Justin Tucker 25 yard field goal,13,24,11.0,2023,151
,0:26,Ravens,Justin Tucker 47 yard field goal,13,27,11.0,2023,151
4.0,4:49,Ravens,Gus Edwards 3 yard rush (Justin Tucker kick),13,34,11.0,2023,151
,1:08,Bengals,Ja'Marr Chase 2 yard pass from Jake Browning (Evan McPherson kick),20,34,11.0,2023,151
