Quarter,Time,Tm,Detail,CIN,NOR,week,year,game_id
1.0,10:33,Saints,Tre'Quan Smith 18 yard pass from Andy Dalton (Wil Lutz kick),0,7,6.0,2022,83
,0:45,Bengals,Joe Mixon 9 yard pass from Joe Burrow (Evan McPherson kick),7,7,6.0,2022,83
2.0,13:39,Saints,Rashid Shaheed 44 yard rush (Wil Lutz kick),7,14,6.0,2022,83
,10:28,Saints,Wil Lutz 35 yard field goal,7,17,6.0,2022,83
,5:44,Bengals,Joe Burrow 19 yard rush (Evan McPherson kick),14,17,6.0,2022,83
,0:01,Saints,Wil Lutz 30 yard field goal,14,20,6.0,2022,83
3.0,7:12,Saints,Wil Lutz 37 yard field goal,14,23,6.0,2022,83
,3:30,Bengals,Ja'Marr Chase 15 yard pass from Joe Burrow (Evan McPherson kick),21,23,6.0,2022,83
4.0,11:07,Saints,Wil Lutz 31 yard field goal,21,26,6.0,2022,83
,3:42,Bengals,Evan McPherson 52 yard field goal,24,26,6.0,2022,83
,1:57,Bengals,Ja'Marr Chase 60 yard pass from Joe Burrow (pass failed),30,26,6.0,2022,83
