Quarter,Time,Tm,Detail,NWE,CLE,week,year,game_id
1.0,7:31,Patriots,Nick Folk 19 yard field goal,3,0,6.0,2022,84
,3:00,Browns,Cade York 39 yard field goal,3,3,6.0,2022,84
2.0,3:23,Patriots,Rhamondre Stevenson 31 yard rush (Nick Folk kick),10,3,6.0,2022,84
,0:26,Browns,Cade York 48 yard field goal,10,6,6.0,2022,84
3.0,11:22,Patriots,Tyquan Thornton 2 yard pass from Bailey Zappe (Nick Folk kick),17,6,6.0,2022,84
,5:32,Patriots,Hunter Henry 31 yard pass from Bailey Zappe (Nick Folk kick),24,6,6.0,2022,84
4.0,14:35,Browns,Cade York 51 yard field goal,24,9,6.0,2022,84
,6:17,Browns,Amari Cooper 15 yard pass from Jacoby Brissett (pass failed),24,15,6.0,2022,84
,4:28,Patriots,Tyquan Thornton 19 yard rush (Nick Folk kick),31,15,6.0,2022,84
,3:40,Patriots,Rhamondre Stevenson 6 yard rush (Nick Folk kick),38,15,6.0,2022,84
