Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Desmond Ridder,ATL,19,31,191,1,2,4,31,33,62.7,4.0,2023,50
Bijan Robinson,ATL,0,0,0,0,0,0,0,0,,4.0,2023,50
Tyler Allgeier,ATL,0,0,0,0,0,0,0,0,,4.0,2023,50
Jonnu Smith,ATL,0,0,0,0,0,0,0,0,,4.0,2023,50
Drake London,ATL,0,0,0,0,0,0,0,0,,4.0,2023,50
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,4.0,2023,50
KhaDarel Hodge,ATL,0,0,0,0,0,0,0,0,,4.0,2023,50
Mack Hollins,ATL,0,0,0,0,0,0,0,0,,4.0,2023,50
MyCole Pruitt,ATL,0,0,0,0,0,0,0,0,,4.0,2023,50
Trevor Lawrence,JAX,23,30,207,1,0,2,12,30,105.8,4.0,2023,50
Travis Etienne,JAX,0,0,0,0,0,0,0,0,,4.0,2023,50
Tank Bigsby,JAX,0,0,0,0,0,0,0,0,,4.0,2023,50
Christian Kirk,JAX,0,0,0,0,0,0,0,0,,4.0,2023,50
Evan Engram,JAX,0,0,0,0,0,0,0,0,,4.0,2023,50
Calvin Ridley,JAX,0,0,0,0,0,0,0,0,,4.0,2023,50
Luke Farrell,JAX,0,0,0,0,0,0,0,0,,4.0,2023,50
Jamycal Hasty,JAX,0,0,0,0,0,0,0,0,,4.0,2023,50
Tim Jones,JAX,0,0,0,0,0,0,0,0,,4.0,2023,50
D'Ernest Johnson,JAX,0,0,0,0,0,0,0,0,,4.0,2023,50
