#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
2,1,14:14,TAM 28,7,4:02,45,Field Goal,1,Buccaneers,4.0,2022,63
3,1,4:01,TAM 25,3,1:43,8,Punt,1,Buccaneers,4.0,2022,63
4,2,11:26,TAM 25,6,2:36,75,Touchdown,1,Buccaneers,4.0,2022,63
5,2,5:09,TAM 34,1,0:07,-12,Fumble,1,Buccaneers,4.0,2022,63
6,2,2:11,TAM 25,12,2:01,75,Touchdown,1,Buccaneers,4.0,2022,63
7,3,11:26,TAM 25,5,0:55,10,Punt,1,Buccaneers,4.0,2022,63
8,3,5:42,TAM 25,11,4:58,75,Touchdown,1,Buccaneers,4.0,2022,63
9,4,10:47,TAM 25,5,2:59,7,Punt,1,Buccaneers,4.0,2022,63
10,4,4:42,KAN 34,5,1:12,34,Touchdown,1,Buccaneers,4.0,2022,63
11,4,0:45,TAM 21,5,0:45,52,End of Game,1,Buccaneers,4.0,2022,63
