Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Tommy DeVito,NYG,14,27,86,2,1,5,25,26,67.8,10.0,2023,147
Saquon Barkley,NYG,0,0,0,0,0,0,0,0,,10.0,2023,147
Matt Breida,NYG,0,0,0,0,0,0,0,0,,10.0,2023,147
Jashaun Corbin,NYG,0,0,0,0,0,0,0,0,,10.0,2023,147
Daniel Bellinger,NYG,0,0,0,0,0,0,0,0,,10.0,2023,147
Darius Slayton,NYG,0,0,0,0,0,0,0,0,,10.0,2023,147
Lawrence Cager,NYG,0,0,0,0,0,0,0,0,,10.0,2023,147
Parris Campbell,NYG,0,0,0,0,0,0,0,0,,10.0,2023,147
Wan'Dale Robinson,NYG,0,0,0,0,0,0,0,0,,10.0,2023,147
Sterling Shepard,NYG,0,0,0,0,0,0,0,0,,10.0,2023,147
Isaiah Hodgins,NYG,0,0,0,0,0,0,0,0,,10.0,2023,147
Jalin Hyatt,NYG,0,0,0,0,0,0,0,0,,10.0,2023,147
Dak Prescott,DAL,26,35,404,4,1,0,0,41,138.3,10.0,2023,147
Cooper Rush,DAL,7,9,68,0,1,0,0,29,58.6,10.0,2023,147
Rico Dowdle,DAL,0,0,0,0,0,0,0,0,,10.0,2023,147
Tony Pollard,DAL,0,0,0,0,0,0,0,0,,10.0,2023,147
CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,10.0,2023,147
Brandin Cooks,DAL,0,0,0,0,0,0,0,0,,10.0,2023,147
Michael Gallup,DAL,0,0,0,0,0,0,0,0,,10.0,2023,147
Jalen Brooks,DAL,0,0,0,0,0,0,0,0,,10.0,2023,147
Jake Ferguson,DAL,0,0,0,0,0,0,0,0,,10.0,2023,147
Jalen Tolbert,DAL,0,0,0,0,0,0,0,0,,10.0,2023,147
Luke Schoonmaker,DAL,0,0,0,0,0,0,0,0,,10.0,2023,147
Deuce Vaughn,DAL,0,0,0,0,0,0,0,0,,10.0,2023,147
