Quarter,Time,Tm,Detail,BAL,CIN,week,year,game_id
1,8:54,Ravens,Derrick Henry 1 yard rush (Justin Tucker kick),7,0,5.0,2024,69
2,13:44,Bengals,Tee Higgins 11 yard pass from Joe Burrow (Evan McPherson kick),7,7,5.0,2024,69
,8:09,Ravens,Rashod Bateman 16 yard pass from Lamar Jackson (Justin Tucker kick),14,7,5.0,2024,69
,5:47,Bengals,"Safety, Derrick Henry tackled in end zone by Sam Hubbard",14,9,5.0,2024,69
,0:09,Bengals,Ja'Marr Chase 41 yard pass from Joe Burrow (Chase Brown run),14,17,5.0,2024,69
3,8:51,Bengals,Tee Higgins 5 yard pass from Joe Burrow (Evan McPherson kick),14,24,5.0,2024,69
,6:38,Ravens,Isaiah Likely 1 yard pass from Lamar Jackson (Justin Tucker kick),21,24,5.0,2024,69
4,14:19,Bengals,Chase Brown 4 yard pass from Joe Burrow (Evan McPherson kick),21,31,5.0,2024,69
,9:05,Ravens,Charlie Kolar 2 yard pass from Lamar Jackson (Justin Tucker kick),28,31,5.0,2024,69
,8:54,Bengals,Ja'Marr Chase 70 yard pass from Joe Burrow (Evan McPherson kick),28,38,5.0,2024,69
,5:24,Ravens,Isaiah Likely 6 yard pass from Lamar Jackson (Justin Tucker kick),35,38,5.0,2024,69
,1:35,Ravens,Justin Tucker 56 yard field goal,38,38,5.0,2024,69
OT,3:33,Ravens,Justin Tucker 24 yard field goal,41,38,5.0,2024,69
