Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Jaylen Warren,PIT,6,5,28,0,1.0,-3,-0.6,31,6.2,-0.8,0,,0,0.0,0,86.1,15.0,2023,211
Diontae Johnson,PIT,6,4,62,1,4.0,59,14.8,3,0.8,13.8,0,,0,0.0,0,140.3,15.0,2023,211
Pat Freiermuth,PIT,4,3,16,0,1.0,15,5.0,1,0.3,5.8,0,,0,0.0,0,81.2,15.0,2023,211
George Pickens,PIT,7,3,47,0,3.0,38,12.7,9,3.0,21.0,1,3.0,0,0.0,2,26.2,15.0,2023,211
Allen Robinson,PIT,3,3,19,0,,13,4.3,6,2.0,4.3,0,,0,0.0,0,93.1,15.0,2023,211
Michael Pittman Jr.,IND,5,4,78,0,3.0,42,10.5,36,9.0,11.0,1,4.0,1,20.0,0,118.7,15.0,2023,211
Josh Downs,IND,3,3,19,0,,6,2.0,13,4.3,2.0,0,,0,0.0,0,93.1,15.0,2023,211
Zack Moss,IND,3,3,20,1,1.0,4,1.3,16,5.3,1.3,0,,0,0.0,0,134.0,15.0,2023,211
Mo Alie-Cox,IND,3,2,21,1,1.0,17,8.5,4,2.0,11.3,0,,0,0.0,0,126.4,15.0,2023,211
Tyler Goodson,IND,2,2,10,0,0.0,1,0.5,9,4.5,0.5,0,,0,0.0,0,87.5,15.0,2023,211
D.J. Montgomery,IND,4,2,48,1,2.0,20,10.0,28,14.0,6.8,0,,1,25.0,0,133.3,15.0,2023,211
Kylen Granson,IND,1,1,6,0,,1,1.0,5,5.0,1.0,0,,0,0.0,0,91.7,15.0,2023,211
Alec Pierce,IND,5,1,13,0,1.0,13,13.0,0,0.0,11.2,0,,0,0.0,0,39.6,15.0,2023,211
Andrew Ogletree,IND,1,0,0,0,,0,,0,,1.0,0,,0,0.0,0,39.6,15.0,2023,211
