Quarter,Time,Tm,Detail,TAM,GNB,week,year,game_id
1.0,9:02,Buccaneers,Chase McLaughlin 39 yard field goal,3,0,15.0,2023,215
,0:49,Packers,Tucker Kraft 5 yard pass from Jordan Love (Anders Carlson kick),3,7,15.0,2023,215
2.0,12:21,Buccaneers,Mike Evans 19 yard pass from Baker Mayfield (Chase McLaughlin kick),10,7,15.0,2023,215
,7:09,Packers,Anders Carlson 36 yard field goal,10,10,15.0,2023,215
,0:10,Buccaneers,Chase McLaughlin 46 yard field goal,13,10,15.0,2023,215
3.0,10:55,Buccaneers,Rachaad White 26 yard pass from Baker Mayfield (Chase McLaughlin kick),20,10,15.0,2023,215
,4:18,Packers,Jayden Reed 17 yard pass from Jordan Love (Anders Carlson kick),20,17,15.0,2023,215
,0:20,Buccaneers,Ko Kieft 2 yard pass from Baker Mayfield (Chase McLaughlin kick),27,17,15.0,2023,215
4.0,10:04,Packers,Anders Carlson 33 yard field goal,27,20,15.0,2023,215
,6:30,Buccaneers,David Moore 52 yard pass from Baker Mayfield (Chase McLaughlin kick),34,20,15.0,2023,215
