Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Desmond Ridder,ATL,1,0,16.0,2022,226
Tyler Allgeier,ATL,0,0,16.0,2022,226
Cordarrelle Patterson,ATL,0,0,16.0,2022,226
Avery Williams,ATL,0,0,16.0,2022,226
Drake London,ATL,1,1,16.0,2022,226
Olamide Zaccheaus,ATL,0,0,16.0,2022,226
Damiere Byrd,ATL,0,0,16.0,2022,226
Anthony Firkser,ATL,0,0,16.0,2022,226
Parker Hesse,ATL,0,0,16.0,2022,226
MyCole Pruitt,ATL,0,0,16.0,2022,226
Tyler Huntley,BAL,1,0,16.0,2022,226
Gus Edwards,BAL,0,0,16.0,2022,226
J.K. Dobbins,BAL,0,0,16.0,2022,226
Mark Andrews,BAL,0,0,16.0,2022,226
Sammy Watkins,BAL,0,0,16.0,2022,226
DeSean Jackson,BAL,0,0,16.0,2022,226
Josh Oliver,BAL,0,0,16.0,2022,226
Demarcus Robinson,BAL,0,0,16.0,2022,226
Isaiah Likely,BAL,0,0,16.0,2022,226
Justice Hill,BAL,0,0,16.0,2022,226
