Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Daniel Jones,NYG,0,0,5.0,2022,66
Saquon Barkley,NYG,0,0,5.0,2022,66
Matt Breida,NYG,0,0,5.0,2022,66
Gary Brightwell,NYG,0,0,5.0,2022,66
Daniel Bellinger,NYG,0,0,5.0,2022,66
Darius Slayton,NYG,0,0,5.0,2022,66
Marcus Johnson,NYG,0,0,5.0,2022,66
Richie James,NYG,0,0,5.0,2022,66
David Sills,NYG,0,0,5.0,2022,66
Chris Myarick,NYG,0,0,5.0,2022,66
Jamie Gillan,NYG,0,0,5.0,2022,66
Aaron Rodgers,GNB,1,0,5.0,2022,66
Aaron Jones,GNB,0,0,5.0,2022,66
AJ Dillon,GNB,0,0,5.0,2022,66
Randall Cobb,GNB,0,0,5.0,2022,66
Allen Lazard,GNB,0,0,5.0,2022,66
Romeo Doubs,GNB,0,0,5.0,2022,66
Robert Tonyan,GNB,0,0,5.0,2022,66
Josiah Deguara,GNB,0,0,5.0,2022,66
Marcedes Lewis,GNB,0,0,5.0,2022,66
Tyler Davis,GNB,0,0,5.0,2022,66
Christian Watson,GNB,0,0,5.0,2022,66
