Quarter,Time,Tm,Detail,HOU,LVR,week,year,game_id
1.0,9:54,Raiders,Daniel Carlson 50 yard field goal,0,3,7.0,2022,103
2.0,11:17,Texans,Chris Moore 13 yard pass from Davis Mills (Ka'imi Fairbairn kick),7,3,7.0,2022,103
,4:57,Texans,Ka'imi Fairbairn 55 yard field goal,10,3,7.0,2022,103
,0:25,Raiders,Mack Hollins 26 yard pass from Derek Carr (Daniel Carlson kick),10,10,7.0,2022,103
3.0,10:59,Texans,Ka'imi Fairbairn 35 yard field goal,13,10,7.0,2022,103
,5:48,Raiders,Josh Jacobs 4 yard rush (Daniel Carlson kick),13,17,7.0,2022,103
,3:14,Texans,Phillip Dorsett 25 yard pass from Davis Mills (Ka'imi Fairbairn kick),20,17,7.0,2022,103
4.0,13:32,Raiders,Josh Jacobs 7 yard rush (Daniel Carlson kick),20,24,7.0,2022,103
,7:06,Raiders,Josh Jacobs 15 yard rush (Daniel Carlson kick),20,31,7.0,2022,103
,3:26,Raiders,Duron Harmon 73 yard interception return (Daniel Carlson kick),20,38,7.0,2022,103
