Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Derek Carr,NOR,21,36,228,0,1,4,29,45,65.5,2.0,2023,31
Taysom Hill,NOR,1,1,8,0,0,0,0,8,100.0,2.0,2023,31
Tony Jones,NOR,0,0,0,0,0,0,0,0,,2.0,2023,31
Jamaal Williams,NOR,0,0,0,0,0,0,0,0,,2.0,2023,31
Chris Olave,NOR,0,0,0,0,0,0,0,0,,2.0,2023,31
Rashid Shaheed,NOR,0,0,0,0,0,0,0,0,,2.0,2023,31
Michael Thomas,NOR,0,0,0,0,0,0,0,0,,2.0,2023,31
Foster Moreau,NOR,0,0,0,0,0,0,0,0,,2.0,2023,31
Juwan Johnson,NOR,0,0,0,0,0,0,0,0,,2.0,2023,31
Keith Kirkwood,NOR,0,0,0,0,0,0,0,0,,2.0,2023,31
Bryce Young,CAR,22,33,153,1,0,4,14,22,87.1,2.0,2023,31
Miles Sanders,CAR,0,0,0,0,0,0,0,0,,2.0,2023,31
Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,2.0,2023,31
Laviska Shenault Jr.,CAR,0,0,0,0,0,0,0,0,,2.0,2023,31
Adam Thielen,CAR,0,0,0,0,0,0,0,0,,2.0,2023,31
Jonathan Mingo,CAR,0,0,0,0,0,0,0,0,,2.0,2023,31
Hayden Hurst,CAR,0,0,0,0,0,0,0,0,,2.0,2023,31
DJ Chark,CAR,0,0,0,0,0,0,0,0,,2.0,2023,31
