Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Bryce Young,CAR,25,41,247,3,2,1,4,30,82.1,5.0,2023,68
Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,5.0,2023,68
Miles Sanders,CAR,0,0,0,0,0,0,0,0,,5.0,2023,68
Laviska Shenault Jr.,CAR,0,0,0,0,0,0,0,0,,5.0,2023,68
Andy Dalton,CAR,0,0,0,0,0,0,0,0,,5.0,2023,68
Adam Thielen,CAR,0,0,0,0,0,0,0,0,,5.0,2023,68
Jonathan Mingo,CAR,0,0,0,0,0,0,0,0,,5.0,2023,68
DJ Chark,CAR,0,0,0,0,0,0,0,0,,5.0,2023,68
Ian Thomas,CAR,0,0,0,0,0,0,0,0,,5.0,2023,68
Hayden Hurst,CAR,0,0,0,0,0,0,0,0,,5.0,2023,68
Tommy Tremble,CAR,0,0,0,0,0,0,0,0,,5.0,2023,68
Jared Goff,DET,20,28,236,3,0,2,18,31,132.4,5.0,2023,68
David Montgomery,DET,0,0,0,0,0,0,0,0,,5.0,2023,68
Craig Reynolds,DET,0,0,0,0,0,0,0,0,,5.0,2023,68
Josh Reynolds,DET,0,0,0,0,0,0,0,0,,5.0,2023,68
Sam LaPorta,DET,0,0,0,0,0,0,0,0,,5.0,2023,68
Kalif Raymond,DET,0,0,0,0,0,0,0,0,,5.0,2023,68
Marvin Jones,DET,0,0,0,0,0,0,0,0,,5.0,2023,68
Brock Wright,DET,0,0,0,0,0,0,0,0,,5.0,2023,68
Zonovan Knight,DET,0,0,0,0,0,0,0,0,,5.0,2023,68
Jameson Williams,DET,0,0,0,0,0,0,0,0,,5.0,2023,68
Teddy Bridgewater,DET,0,0,0,0,0,0,0,0,,5.0,2023,68
