Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Jordan Poyer,BUF,0,6,5,83.3%,40.0,8.0,6.7,1.0,134.0,4.8,30.0,10.0,0,0,0,0.0,0,11,0,0.0%,9.0,2023,135
Tyrel Dodson,BUF,0,4,4,100.0%,19.0,4.8,4.8,0.0,86.5,0.5,2.0,17.0,9,0,1,0.0,1,10,1,9.1%,9.0,2023,135
Dorian Williams,BUF,0,5,4,80.0%,28.0,7.0,5.6,0.0,90.0,-1.6,-3.0,31.0,3,0,0,0.0,0,4,0,0.0%,9.0,2023,135
Dane Jackson,BUF,0,9,4,44.4%,62.0,15.5,6.9,0.0,67.8,12.4,37.0,25.0,0,0,0,0.0,0,3,1,25.0%,9.0,2023,135
Micah Hyde,BUF,0,4,4,100.0%,75.0,18.8,18.8,1.0,158.3,8.3,33.0,42.0,5,0,0,0.0,0,2,0,0.0%,9.0,2023,135
Terrel Bernard,BUF,0,2,2,100.0%,23.0,11.5,11.5,0.0,114.6,-2.0,-4.0,27.0,2,0,1,0.0,1,4,0,0.0%,9.0,2023,135
Christian Benford,BUF,0,2,2,100.0%,30.0,15.0,15.0,0.0,118.7,10.5,21.0,9.0,0,0,0,0.0,0,3,0,0.0%,9.0,2023,135
Taron Johnson,BUF,0,5,2,40.0%,31.0,15.5,6.2,0.0,61.2,7.0,19.0,12.0,0,0,0,0.0,0,5,0,0.0%,9.0,2023,135
Rasul Douglas,BUF,0,4,2,50.0%,20.0,10.0,5.0,0.0,64.6,6.0,20.0,0.0,0,0,0,0.0,0,2,0,0.0%,9.0,2023,135
Shaq Lawson,BUF,0,1,1,100.0%,11.0,11.0,11.0,0.0,112.5,5.0,5.0,6.0,0,0,0,0.0,0,1,0,0.0%,9.0,2023,135
Cameron Lewis,BUF,0,1,1,100.0%,9.0,9.0,9.0,0.0,104.2,5.0,5.0,4.0,0,0,0,0.0,0,1,0,0.0%,9.0,2023,135
Gregory Rousseau,BUF,0,0,0,,,,,,,,,,0,0,2,0.0,2,1,0,0.0%,9.0,2023,135
Leonard Floyd,BUF,0,0,0,,,,,,,,,,0,0,1,0.5,2,1,0,0.0%,9.0,2023,135
Jordan Phillips,BUF,0,0,0,,,,,,,,,,0,0,0,0.5,1,3,0,0.0%,9.0,2023,135
Von Miller,BUF,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%,9.0,2023,135
Mike Hilton,CIN,0,7,6,85.7%,53.0,8.8,7.6,0.0,98.2,5.3,27.0,26.0,1,0,0,0.0,0,10,0,0.0%,9.0,2023,135
Germaine Pratt,CIN,0,7,6,85.7%,52.0,8.7,7.4,0.0,97.6,4.3,23.0,29.0,2,0,0,0.0,0,11,0,0.0%,9.0,2023,135
Logan Wilson,CIN,0,3,3,100.0%,23.0,7.7,7.7,0.0,98.6,2.3,7.0,16.0,1,0,0,0.0,0,8,0,0.0%,9.0,2023,135
DJ Turner,CIN,0,4,3,75.0%,60.0,20.0,15.0,1.0,156.2,11.3,23.0,37.0,0,0,0,0.0,0,2,1,33.3%,9.0,2023,135
Nick Scott,CIN,0,4,3,75.0%,47.0,15.7,11.8,0.0,113.5,16.5,40.0,7.0,0,0,0,0.0,0,4,0,0.0%,9.0,2023,135
Cam Taylor-Britt,CIN,1,4,2,50.0%,4.0,2.0,1.0,0.0,16.7,9.5,2.0,2.0,0,0,0,0.0,0,2,0,0.0%,9.0,2023,135
Chidobe Awuzie,CIN,0,4,2,50.0%,18.0,9.0,4.5,0.0,62.5,14.8,2.0,16.0,0,0,0,0.0,0,3,0,0.0%,9.0,2023,135
B.J. Hill,CIN,0,1,1,100.0%,1.0,1.0,1.0,0.0,79.2,-7.0,-7.0,8.0,0,0,1,1.0,2,2,0,0.0%,9.0,2023,135
Joseph Ossai,CIN,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,,9.0,2023,135
Trey Hendrickson,CIN,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%,9.0,2023,135
Sam Hubbard,CIN,0,0,0,,,,,,,,,,1,0,1,0.0,1,0,1,100.0%,9.0,2023,135
Daxton Hill,CIN,0,2,0,0.0%,,,0.0,,39.6,13.5,,,0,0,0,0.0,0,2,0,0.0%,9.0,2023,135
