Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
DeAndre Hopkins,ARI,13,12,159,1,9.0,143,11.9,16,1.3,12.5,0,,1,7.7,0,143.3,8.0,2022,115
Rondale Moore,ARI,8,7,92,1,3.0,5,0.7,87,12.4,1.3,1,7.0,1,12.5,0,154.2,8.0,2022,115
Eno Benjamin,ARI,7,4,23,0,2.0,1,0.3,22,5.5,-0.4,0,,1,14.3,0,63.4,8.0,2022,115
Zach Ertz,ARI,5,4,34,1,3.0,7,1.8,27,6.8,5.4,1,4.0,0,0.0,1,95.0,8.0,2022,115
Greg Dortch,ARI,3,2,12,0,,-2,-1.0,14,7.0,0.7,0,,0,0.0,0,74.3,8.0,2022,115
Darrel Williams,ARI,3,2,6,0,0.0,-7,-3.5,13,6.5,-3.3,0,,0,0.0,0,70.1,8.0,2022,115
Robbie Chosen,ARI,3,0,0,0,,0,,0,,24.7,0,,0,0.0,1,0.0,8.0,2022,115
A.J. Green,ARI,1,0,0,0,,0,,0,,26.0,0,,0,0.0,0,39.6,8.0,2022,115
Justin Jefferson,MIN,8,6,98,0,3.0,55,9.2,43,7.2,10.6,0,,0,0.0,0,115.6,8.0,2022,115
Adam Thielen,MIN,7,6,67,0,4.0,57,9.5,10,1.7,10.9,0,,0,0.0,0,106.5,8.0,2022,115
Dalvin Cook,MIN,6,5,30,0,2.0,-2,-0.4,32,6.4,0.2,0,,0,0.0,0,87.5,8.0,2022,115
Irv Smith Jr.,MIN,4,4,28,0,,14,3.5,14,3.5,3.5,0,,0,0.0,0,95.8,8.0,2022,115
K.J. Osborn,MIN,5,2,8,1,1.0,2,1.0,6,3.0,5.0,0,,0,0.0,0,87.5,8.0,2022,115
Johnny Mundt,MIN,1,1,1,1,1.0,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7,8.0,2022,115
