Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Aaron Rodgers,GNB,0,0,8.0,2022,122
Aaron Jones,GNB,0,0,8.0,2022,122
AJ Dillon,GNB,0,0,8.0,2022,122
Romeo Doubs,GNB,0,0,8.0,2022,122
Samori Toure,GNB,0,0,8.0,2022,122
Robert Tonyan,GNB,0,0,8.0,2022,122
Amari Rodgers,GNB,0,0,8.0,2022,122
Christian Watson,GNB,0,0,8.0,2022,122
Josiah Deguara,GNB,0,0,8.0,2022,122
Sammy Watkins,GNB,0,0,8.0,2022,122
Josh Allen,BUF,0,0,8.0,2022,122
Devin Singletary,BUF,0,0,8.0,2022,122
James Cook,BUF,0,0,8.0,2022,122
Isaiah McKenzie,BUF,0,0,8.0,2022,122
Stefon Diggs,BUF,1,0,8.0,2022,122
Gabriel Davis,BUF,0,0,8.0,2022,122
Dawson Knox,BUF,0,0,8.0,2022,122
Khalil Shakir,BUF,0,0,8.0,2022,122
Jake Kumerow,BUF,0,0,8.0,2022,122
