Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Brian Robinson Jr.,WAS,8,20,0,3.0,9,1.1,11,1.4,0,,8.0,2022,120
Antonio Gibson,WAS,7,19,0,1.0,10,1.4,9,1.3,0,,8.0,2022,120
Taylor Heinicke,WAS,6,29,1,2.0,22,3.7,7,1.2,0,,8.0,2022,120
Curtis Samuel,WAS,4,29,0,1.0,20,5.0,9,2.3,0,,8.0,2022,120
J.D. McKissic,WAS,2,6,0,,2,1.0,4,2.0,0,,8.0,2022,120
Terry McLaurin,WAS,1,-7,0,0.0,-7,-7.0,0,0.0,0,,8.0,2022,120
Jonathan Taylor,IND,16,76,0,2.0,51,3.2,25,1.6,0,,8.0,2022,120
Sam Ehlinger,IND,6,15,0,1.0,12,2.0,3,0.5,0,,8.0,2022,120
Nyheim Hines,IND,5,20,1,1.0,18,3.6,2,0.4,0,,8.0,2022,120
Parris Campbell,IND,1,28,0,1.0,11,11.0,17,17.0,0,,8.0,2022,120
Deon Jackson,IND,1,-4,0,,-4,-4.0,0,0.0,0,,8.0,2022,120
