Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Justin Herbert,LAC,21,35,196,1,1,2,8,33,73.0,10.0,2022,149
Chase Daniel,LAC,0,2,0,0,0,1,1,0,39.6,10.0,2022,149
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,10.0,2022,149
Isaiah Spiller,LAC,0,0,0,0,0,0,0,0,,10.0,2022,149
Sony Michel,LAC,0,0,0,0,0,0,0,0,,10.0,2022,149
DeAndre Carter,LAC,0,0,0,0,0,0,0,0,,10.0,2022,149
Josh Palmer,LAC,0,0,0,0,0,0,0,0,,10.0,2022,149
Gerald Everett,LAC,0,0,0,0,0,0,0,0,,10.0,2022,149
Tre' McKitty,LAC,0,0,0,0,0,0,0,0,,10.0,2022,149
Richard Rodgers,LAC,0,0,0,0,0,0,0,0,,10.0,2022,149
Zander Horvath,LAC,0,0,0,0,0,0,0,0,,10.0,2022,149
Michael Bandy,LAC,0,0,0,0,0,0,0,0,,10.0,2022,149
Jimmy Garoppolo,SFO,19,28,240,0,0,1,10,33,94.3,10.0,2022,149
Elijah Mitchell,SFO,0,0,0,0,0,0,0,0,,10.0,2022,149
Christian McCaffrey,SFO,0,0,0,0,0,0,0,0,,10.0,2022,149
Deebo Samuel,SFO,0,0,0,0,0,0,0,0,,10.0,2022,149
Brandon Aiyuk,SFO,0,0,0,0,0,0,0,0,,10.0,2022,149
Jauan Jennings,SFO,0,0,0,0,0,0,0,0,,10.0,2022,149
Ray-Ray McCloud,SFO,0,0,0,0,0,0,0,0,,10.0,2022,149
George Kittle,SFO,0,0,0,0,0,0,0,0,,10.0,2022,149
