Quarter,Time,Down,ToGo,Location,DAL,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,10.0,2022,147
1,15:00,,,GNB 35,0.0,0.0,"Ramiz Ahmed kicks off 62 yards, returned by KaVontae Turpin for 36 yards (tackle by Johnathan Abram and Ramiz Ahmed)",0.0,1.53,10.0,2022,147
1,14:52,1.0,10.0,DAL 39,0.0,0.0,Tony Pollard right end for 1 yard (tackle by Rudy Ford),1.53,1.12,10.0,2022,147
1,14:29,2.0,9.0,DAL 40,0.0,0.0,Dak Prescott pass incomplete short right intended for Tony Pollard,1.12,0.43,10.0,2022,147
1,14:26,3.0,9.0,DAL 40,0.0,0.0,Dak Prescott pass incomplete short right intended for Michael Gallup,0.43,-0.72,10.0,2022,147
1,14:22,4.0,9.0,DAL 40,0.0,0.0,"Bryan Anger punts 44 yards, fair catch by Amari Rodgers at GB-16",-0.72,0.14,10.0,2022,147
1,14:15,1.0,10.0,GNB 16,0.0,0.0,Aaron Jones left end for 4 yards (tackle by Micah Parsons and Dorance Armstrong),-0.14,0.01,10.0,2022,147
1,13:36,2.0,6.0,GNB 20,0.0,0.0,Aaron Jones right end for 4 yards (tackle by DaRon Bland),0.01,-0.32,10.0,2022,147
1,12:53,3.0,2.0,GNB 24,0.0,0.0,Aaron Jones left end for 8 yards (tackle by Trevon Diggs),-0.32,1.07,10.0,2022,147
1,12:48,1.0,10.0,GNB 32,0.0,0.0,"Penalty on DAL: Personal Foul / Defense, 15 yards (accepted) (no play)",1.07,2.06,10.0,2022,147
1,12:27,1.0,10.0,GNB 47,0.0,0.0,AJ Dillon left guard for 4 yards (tackle by Johnathan Hankins and Osa Odighizuwa),2.06,2.06,10.0,2022,147
1,11:46,2.0,6.0,DAL 49,0.0,0.0,AJ Dillon right tackle for 4 yards (tackle by Osa Odighizuwa),2.06,1.88,10.0,2022,147
1,11:06,3.0,2.0,DAL 45,0.0,0.0,AJ Dillon left guard for 4 yards (tackle by Jayron Kearse),1.88,2.85,10.0,2022,147
1,10:28,1.0,10.0,DAL 41,0.0,0.0,AJ Dillon up the middle for 5 yards (tackle by Neville Gallimore),2.85,2.98,10.0,2022,147
1,9:44,2.0,5.0,DAL 36,0.0,0.0,Aaron Rodgers pass incomplete short middle intended for Christian Watson,2.98,2.28,10.0,2022,147
1,9:39,3.0,5.0,DAL 36,0.0,0.0,Aaron Rodgers pass incomplete short right intended for Christian Watson,2.28,0.88,10.0,2022,147
