Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Marshon Lattimore,NOR,0,5,3,60.0%,65.0,21.7,13.0,0.0,104.2,12.6,37.0,28.0,0,0,0,0.0,0,6,0,0.0%,6.0,2023,87
Paulson Adebo,NOR,0,3,2,66.7%,35.0,17.5,11.7,0.0,106.2,9.3,24.0,11.0,0,0,0,0.0,0,1,1,50.0%,6.0,2023,87
Pete Werner,NOR,0,4,2,50.0%,17.0,8.5,4.3,1.0,101.0,9.3,8.0,9.0,0,0,0,0.0,0,6,0,0.0%,6.0,2023,87
Tyrann Mathieu,NOR,0,5,2,40.0%,18.0,9.0,3.6,1.0,90.0,3.2,-4.0,22.0,1,0,0,0.0,0,3,0,0.0%,6.0,2023,87
Bryan Bresee,NOR,0,1,1,100.0%,10.0,10.0,10.0,0.0,108.3,3.0,3.0,7.0,0,0,0,0.0,0,0,0,,6.0,2023,87
Alontae Taylor,NOR,0,4,1,25.0%,35.0,35.0,8.8,0.0,63.5,12.0,33.0,2.0,0,0,0,0.0,0,3,1,25.0%,6.0,2023,87
Jordan Howden,NOR,0,2,1,50.0%,19.0,19.0,9.5,0.0,83.3,13.5,9.0,10.0,0,0,0,0.0,0,2,0,0.0%,6.0,2023,87
Demario Davis,NOR,0,1,0,0.0%,,,0.0,,39.6,1.0,,,1,0,1,1.0,2,7,0,0.0%,6.0,2023,87
Carl Granderson,NOR,0,0,0,,,,,,,,,,0,0,0,1.0,1,6,0,0.0%,6.0,2023,87
Zack Baun,NOR,1,1,0,0.0%,,,0.0,,0.0,11.0,,,2,0,0,0.0,0,5,0,0.0%,6.0,2023,87
Isaiah Foskey,NOR,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,,6.0,2023,87
D'Marco Jackson,NOR,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,,6.0,2023,87
Blake Cashman,HOU,0,12,8,66.7%,68.0,8.5,5.7,0.0,81.2,4.9,19.0,49.0,4,0,1,0.0,1,15,1,6.3%,6.0,2023,87
Jimmie Ward,HOU,0,8,7,87.5%,54.0,7.7,6.8,0.0,94.8,5.4,19.0,35.0,1,0,0,0.0,0,7,0,0.0%,6.0,2023,87
Steven Nelson,HOU,1,8,5,62.5%,110.0,22.0,13.8,1.0,106.2,19.1,104.0,6.0,0,0,0,0.0,0,6,0,0.0%,6.0,2023,87
Shaquill Griffin,HOU,0,6,4,66.7%,41.0,10.3,6.8,0.0,86.1,13.7,29.0,12.0,0,0,0,0.0,0,6,0,0.0%,6.0,2023,87
M.J. Stewart,HOU,0,4,3,75.0%,21.0,7.0,5.3,0.0,86.5,10.5,20.0,1.0,2,0,1,0.0,1,4,1,20.0%,6.0,2023,87
Henry To'oTo'o,HOU,0,3,2,66.7%,25.0,12.5,8.3,0.0,92.4,9.3,25.0,0.0,3,0,0,0.0,0,6,0,0.0%,6.0,2023,87
Will Anderson,HOU,0,1,1,100.0%,8.0,8.0,8.0,0.0,100.0,5.0,5.0,3.0,1,0,2,0.0,2,3,0,0.0%,6.0,2023,87
Jalen Pitre,HOU,0,1,1,100.0%,16.0,16.0,16.0,0.0,118.7,15.0,15.0,1.0,8,0,0,0.0,0,6,0,0.0%,6.0,2023,87
Dylan Horton,HOU,0,1,1,100.0%,7.0,7.0,7.0,0.0,95.8,3.0,3.0,4.0,0,0,0,0.0,0,1,0,0.0%,6.0,2023,87
Christian Harris,HOU,0,1,1,100.0%,7.0,7.0,7.0,0.0,95.8,5.0,5.0,2.0,0,0,0,0.0,0,3,0,0.0%,6.0,2023,87
Jonathan Greenard,HOU,0,0,0,,,,,,,,,,4,0,1,0.5,2,3,0,0.0%,6.0,2023,87
Sheldon Rankins,HOU,0,0,0,,,,,,,,,,0,0,0,1.0,1,6,0,0.0%,6.0,2023,87
Maliek Collins,HOU,0,0,0,,,,,,,,,,0,0,0,0.5,1,4,0,0.0%,6.0,2023,87
Eric Murray,HOU,0,1,0,0.0%,,,0.0,,39.6,42.0,,,0,0,0,0.0,0,0,0,,6.0,2023,87
Jake Hansen,HOU,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,,6.0,2023,87
