Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Tyler Lockett,SEA,8,6,94,0,3.0,77,12.8,17,2.8,14.1,0,,0,0.0,0,113.5,6.0,2023,85
Jaxon Smith-Njigba,SEA,5,4,48,0,2.0,23,5.8,25,6.3,7.6,1,4.0,0,0.0,1,67.1,6.0,2023,85
D.K. Metcalf,SEA,9,4,69,0,4.0,44,11.0,25,6.3,16.3,0,,0,0.0,1,31.5,6.0,2023,85
Kenneth Walker III,SEA,3,3,27,0,1.0,0,0.0,27,9.0,0.0,0,,0,0.0,0,104.2,6.0,2023,85
Colby Parkinson,SEA,5,3,19,0,,11,3.7,8,2.7,4.4,0,,0,0.0,0,67.9,6.0,2023,85
Jake Bobo,SEA,2,2,43,0,2.0,27,13.5,16,8.0,13.5,1,2.0,0,0.0,0,118.7,6.0,2023,85
Zach Charbonnet,SEA,2,2,14,0,1.0,-1,-0.5,15,7.5,-0.5,0,,0,0.0,0,95.8,6.0,2023,85
DeeJay Dallas,SEA,1,1,-1,0,,-3,-3.0,2,2.0,-3.0,0,,0,0.0,0,79.2,6.0,2023,85
Will Dissly,SEA,1,1,4,0,,0,0.0,4,4.0,0.0,0,,0,0.0,0,83.3,6.0,2023,85
Noah Fant,SEA,1,1,9,0,,6,6.0,3,3.0,6.0,0,,0,0.0,0,104.2,6.0,2023,85
Tyler Boyd,CIN,7,7,38,1,2.0,21,3.0,17,2.4,3.0,0,,0,0.0,0,128.9,6.0,2023,85
Ja'Marr Chase,CIN,13,6,80,0,5.0,33,5.5,47,7.8,9.8,0,,0,0.0,1,34.1,6.0,2023,85
Joe Mixon,CIN,4,3,24,0,1.0,-2,-0.7,26,8.7,-0.5,0,,1,25.0,0,89.6,6.0,2023,85
Trayveon Williams,CIN,2,2,3,0,,-5,-2.5,8,4.0,-2.5,0,,0,0.0,0,79.2,6.0,2023,85
Tee Higgins,CIN,4,2,20,0,1.0,13,6.5,7,3.5,9.5,0,,0,0.0,0,64.6,6.0,2023,85
Drew Sample,CIN,1,1,4,0,,4,4.0,0,0.0,4.0,0,,0,0.0,0,83.3,6.0,2023,85
Irv Smith Jr.,CIN,2,1,5,0,,5,5.0,0,0.0,5.0,0,,1,50.0,0,56.2,6.0,2023,85
Andrei Iosivas,CIN,1,1,3,1,1.0,3,3.0,0,0.0,3.0,0,,0,0.0,0,118.7,6.0,2023,85
Chase Brown,CIN,1,1,8,0,,0,0.0,8,8.0,0.0,0,,0,0.0,0,100.0,6.0,2023,85
