Quarter,Time,Tm,Detail,ARI,PHI,week,year,game_id
1.0,5:09,Cardinals,Matt Prater 28 yard field goal,3,0,17.0,2023,247
,0:36,Eagles,Julio Jones 12 yard pass from Jalen Hurts (Jake Elliott kick),3,7,17.0,2023,247
2.0,11:44,Eagles,Sydney Brown 99 yard interception return (Jake Elliott kick),3,14,17.0,2023,247
,1:50,Cardinals,Matt Prater 34 yard field goal,6,14,17.0,2023,247
,0:16,Eagles,Julio Jones 22 yard pass from Jalen Hurts (Jake Elliott kick),6,21,17.0,2023,247
3.0,8:42,Cardinals,Michael Carter 6 yard pass from Kyler Murray (Matt Prater kick),13,21,17.0,2023,247
,2:01,Cardinals,James Conner 5 yard pass from Kyler Murray (Michael Wilson pass from Kyler Murray),21,21,17.0,2023,247
4.0,9:55,Eagles,Dallas Goedert 9 yard pass from Jalen Hurts (Jake Elliott kick),21,28,17.0,2023,247
,5:26,Cardinals,Michael Wilson 5 yard pass from Kyler Murray (Matt Prater kick),28,28,17.0,2023,247
,2:33,Eagles,Jake Elliott 43 yard field goal,28,31,17.0,2023,247
,0:32,Cardinals,James Conner 2 yard rush (Matt Prater kick),35,31,17.0,2023,247
