Quarter,Time,Tm,Detail,ATL,CHI,week,year,game_id
1.0,8:47,Bears,D.J. Moore 7 yard pass from Justin Fields (Cairo Santos kick),0,7,17.0,2023,243
2.0,14:14,Bears,Justin Fields 9 yard rush (Cairo Santos kick),0,14,17.0,2023,243
,14:00,Falcons,Tyler Allgeier 75 yard pass from Taylor Heinicke (Younghoe Koo kick),7,14,17.0,2023,243
,4:02,Bears,Roschon Johnson 2 yard rush (Cairo Santos kick),7,21,17.0,2023,243
3.0,11:56,Bears,Cairo Santos 22 yard field goal,7,24,17.0,2023,243
,8:29,Falcons,Younghoe Koo 38 yard field goal,10,24,17.0,2023,243
,1:10,Bears,Cairo Santos 42 yard field goal,10,27,17.0,2023,243
4.0,12:22,Falcons,Taylor Heinicke 24 yard rush (Younghoe Koo kick),17,27,17.0,2023,243
,4:59,Bears,Cairo Santos 42 yard field goal,17,30,17.0,2023,243
,3:39,Bears,Khalil Herbert 1 yard rush (Cairo Santos kick),17,37,17.0,2023,243
