Quarter,Time,Tm,Detail,PIT,SEA,week,year,game_id
1.0,1:47,Steelers,Jaylen Warren 18 yard rush (Chris Boswell kick),7,0,17.0,2023,253
2.0,13:50,Seahawks,Kenneth Walker III 13 yard rush (Jason Myers kick),7,7,17.0,2023,253
,10:27,Steelers,Chris Boswell 39 yard field goal,10,7,17.0,2023,253
,5:30,Seahawks,Jaxon Smith-Njigba 12 yard pass from Geno Smith (Jason Myers kick),10,14,17.0,2023,253
,1:36,Steelers,Najee Harris 9 yard rush (Chris Boswell kick),17,14,17.0,2023,253
3.0,10:47,Seahawks,Jason Myers 43 yard field goal,17,17,17.0,2023,253
,6:57,Steelers,Najee Harris 4 yard rush (Chris Boswell kick),24,17,17.0,2023,253
4.0,13:30,Seahawks,Jason Myers 42 yard field goal,24,20,17.0,2023,253
,7:07,Steelers,Chris Boswell 26 yard field goal,27,20,17.0,2023,253
,4:31,Steelers,Chris Boswell 21 yard field goal,30,20,17.0,2023,253
,2:01,Seahawks,Jason Myers 24 yard field goal,30,23,17.0,2023,253
