Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Alvin Kamara,NOR,15,69,0,3.0,31,2.1,38,2.5,0,,12.0,2023,169
Taysom Hill,NOR,7,26,0,0.0,19,2.7,7,1.0,0,,12.0,2023,169
Lynn Bowden Jr.,NOR,2,40,0,2.0,35,17.5,5,2.5,0,,12.0,2023,169
Derek Carr,NOR,2,7,0,1.0,7,3.5,0,0.0,0,,12.0,2023,169
Jamaal Williams,NOR,2,6,0,,1,0.5,5,2.5,0,,12.0,2023,169
Bijan Robinson,ATL,16,91,1,6.0,53,3.3,38,2.4,0,,12.0,2023,169
Tyler Allgeier,ATL,10,64,0,4.0,37,3.7,27,2.7,0,,12.0,2023,169
Cordarrelle Patterson,ATL,8,43,0,2.0,22,2.8,21,2.6,0,,12.0,2023,169
Desmond Ridder,ATL,7,30,0,3.0,25,3.6,5,0.7,0,,12.0,2023,169
