Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Kyler Murray,ARI,0,0,12.0,2024,176
Trey Benson,ARI,0,0,12.0,2024,176
Emari Demercado,ARI,0,0,12.0,2024,176
James Conner,ARI,0,0,12.0,2024,176
Trey McBride,ARI,0,0,12.0,2024,176
Michael Wilson,ARI,0,0,12.0,2024,176
Marvin Harrison Jr.,ARI,0,0,12.0,2024,176
Greg Dortch,ARI,0,0,12.0,2024,176
Elijah Higgins,ARI,0,0,12.0,2024,176
Geno Smith,SEA,1,0,12.0,2024,176
Kenneth Walker III,SEA,0,0,12.0,2024,176
Zach Charbonnet,SEA,0,0,12.0,2024,176
Jaxon Smith-Njigba,SEA,0,0,12.0,2024,176
D.K. Metcalf,SEA,0,0,12.0,2024,176
Tyler Lockett,SEA,0,0,12.0,2024,176
Pharaoh Brown,SEA,0,0,12.0,2024,176
AJ Barner,SEA,0,0,12.0,2024,176
Jake Bobo,SEA,0,0,12.0,2024,176
