Quarter,Time,Tm,Detail,PHI,LAR,week,year,game_id
1.0,5:13,Eagles,Jake Elliott 21 yard field goal,3,0,12.0,2024,178
,1:02,Rams,Kyren Williams 1 yard rush (Joshua Karty kick),3,7,12.0,2024,178
2.0,6:17,Eagles,Jake Elliott 31 yard field goal,6,7,12.0,2024,178
,1:27,Eagles,A.J. Brown 6 yard pass from Jalen Hurts (Jake Elliott kick),13,7,12.0,2024,178
3.0,14:49,Eagles,Saquon Barkley 70 yard rush (Jake Elliott kick),20,7,12.0,2024,178
,10:51,Rams,Demarcus Robinson 2 yard pass from Matthew Stafford (Joshua Karty kick),20,14,12.0,2024,178
,6:17,Eagles,Kenneth Gainwell 13 yard rush (Jake Elliott kick),27,14,12.0,2024,178
4.0,10:30,Eagles,Jake Elliott 26 yard field goal,30,14,12.0,2024,178
,2:44,Eagles,Saquon Barkley 72 yard rush (Jake Elliott kick),37,14,12.0,2024,178
,1:07,Rams,Cooper Kupp 27 yard pass from Matthew Stafford (pass failed),37,20,12.0,2024,178
