Quarter,Time,Tm,Detail,LVR,MIA,week,year,game_id
1.0,6:47,Dolphins,Jonnu Smith 1 yard pass from Tua Tagovailoa (Jason Sanders kick),0,7,11.0,2024,157
,0:08,Raiders,Daniel Carlson 27 yard field goal,3,7,11.0,2024,157
2.0,6:46,Dolphins,Jason Sanders 31 yard field goal,3,10,11.0,2024,157
,0:45,Raiders,Daniel Carlson 22 yard field goal,6,10,11.0,2024,157
3.0,4:13,Dolphins,Tyreek Hill 8 yard pass from Tua Tagovailoa (Jason Sanders kick),6,17,11.0,2024,157
,1:21,Raiders,Brock Bowers 23 yard pass from Gardner Minshew II (run failed),12,17,11.0,2024,157
4.0,10:37,Dolphins,De'Von Achane 2 yard rush (Jason Sanders kick),12,24,11.0,2024,157
,4:23,Raiders,Ameer Abdullah 10 yard pass from Gardner Minshew II (Daniel Carlson kick),19,24,11.0,2024,157
,3:19,Dolphins,Jonnu Smith 57 yard pass from Tua Tagovailoa (Jason Sanders kick),19,31,11.0,2024,157
,1:55,Dolphins,Jason Sanders 46 yard field goal,19,34,11.0,2024,157
