Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Derek Carr,NOR,0,0,16.0,2023,225
Alvin Kamara,NOR,0,0,16.0,2023,225
Jamaal Williams,NOR,0,0,16.0,2023,225
Rashid Shaheed,NOR,0,0,16.0,2023,225
Taysom Hill,NOR,0,0,16.0,2023,225
Chris Olave,NOR,0,0,16.0,2023,225
Juwan Johnson,NOR,0,0,16.0,2023,225
A.T. Perry,NOR,0,0,16.0,2023,225
Foster Moreau,NOR,0,0,16.0,2023,225
Keith Kirkwood,NOR,0,0,16.0,2023,225
Matthew Stafford,LAR,0,0,16.0,2023,225
Kyren Williams,LAR,0,0,16.0,2023,225
Ronnie Rivers,LAR,0,0,16.0,2023,225
Puka Nacua,LAR,0,0,16.0,2023,225
Demarcus Robinson,LAR,0,0,16.0,2023,225
Tyler Higbee,LAR,0,0,16.0,2023,225
Cooper Kupp,LAR,0,0,16.0,2023,225
