Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Antonio Gibson,WAS,18,72,0,3,43,2.4,29,1.6,0,,11.0,2022,154
Brian Robinson Jr.,WAS,15,57,0,4,32,2.1,25,1.7,0,,11.0,2022,154
Taylor Heinicke,WAS,3,2,0,0,2,0.7,0,0.0,0,,11.0,2022,154
Curtis Samuel,WAS,2,18,1,2,16,8.0,2,1.0,0,,11.0,2022,154
Jahan Dotson,WAS,1,3,0,0,2,2.0,1,1.0,0,,11.0,2022,154
Terry McLaurin,WAS,1,1,0,0,1,1.0,0,0.0,0,,11.0,2022,154
Dameon Pierce,HOU,10,8,0,1,3,0.3,5,0.5,0,,11.0,2022,154
Davis Mills,HOU,5,10,1,3,10,2.0,0,0.0,0,,11.0,2022,154
Chris Moore,HOU,1,3,0,0,2,2.0,1,1.0,0,,11.0,2022,154
