Quarter,Time,Tm,Detail,ARI,MIN,week,year,game_id
1.0,9:02,Cardinals,Chad Ryland 32 yard field goal,3,0,13.0,2024,186
,4:42,Vikings,John Parker Romo 44 yard field goal,3,3,13.0,2024,186
2.0,6:01,Cardinals,Chad Ryland 31 yard field goal,6,3,13.0,2024,186
,1:12,Vikings,John Parker Romo 55 yard field goal,6,6,13.0,2024,186
,0:00,Cardinals,Chad Ryland 24 yard field goal,9,6,13.0,2024,186
3.0,8:33,Cardinals,Chad Ryland 40 yard field goal,12,6,13.0,2024,186
,4:37,Cardinals,Marvin Harrison Jr. 15 yard pass from Kyler Murray (Chad Ryland kick),19,6,13.0,2024,186
,1:17,Vikings,Johnny Mundt 4 yard pass from Sam Darnold (John Parker Romo kick),19,13,13.0,2024,186
4.0,11:08,Vikings,John Parker Romo 31 yard field goal,19,16,13.0,2024,186
,3:20,Cardinals,Chad Ryland 23 yard field goal,22,16,13.0,2024,186
,1:13,Vikings,Aaron Jones 5 yard pass from Sam Darnold (John Parker Romo kick),22,23,13.0,2024,186
