Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Kyler Murray,ARI,1,0,13.0,2024,186
James Conner,ARI,0,0,13.0,2024,186
Trey Benson,ARI,0,0,13.0,2024,186
Emari Demercado,ARI,0,0,13.0,2024,186
Greg Dortch,ARI,0,0,13.0,2024,186
Trey McBride,ARI,0,0,13.0,2024,186
Marvin Harrison Jr.,ARI,0,0,13.0,2024,186
Michael Wilson,ARI,0,0,13.0,2024,186
Elijah Higgins,ARI,0,0,13.0,2024,186
Tip Reiman,ARI,0,0,13.0,2024,186
Sam Darnold,MIN,0,0,13.0,2024,186
Aaron Jones,MIN,2,1,13.0,2024,186
Cam Akers,MIN,0,0,13.0,2024,186
Ty Chandler,MIN,0,0,13.0,2024,186
Justin Jefferson,MIN,0,0,13.0,2024,186
Jordan Addison,MIN,0,0,13.0,2024,186
T.J. Hockenson,MIN,0,0,13.0,2024,186
Johnny Mundt,MIN,0,0,13.0,2024,186
Jalen Nailor,MIN,0,0,13.0,2024,186
Brandon Powell,MIN,0,0,13.0,2024,186
