Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
CeeDee Lamb,DAL,14,11,100,0,4.0,52,4.7,48,4.4,9.6,3,3.7,0,0.0,0,96.4,17.0,2022,241
Dalton Schultz,DAL,10,7,56,2,4.0,29,4.1,27,3.9,4.2,1,7.0,0,0.0,1,83.7,17.0,2022,241
T.Y. Hilton,DAL,5,4,50,0,3.0,22,5.5,28,7.0,10.8,1,4.0,0,0.0,0,108.3,17.0,2022,241
Michael Gallup,DAL,4,3,39,0,3.0,32,10.7,7,2.3,11.3,0,,0,0.0,0,105.2,17.0,2022,241
Malik Davis,DAL,2,2,23,0,2.0,-2,-1.0,25,12.5,-1.0,1,2.0,0,0.0,0,114.6,17.0,2022,241
Noah Brown,DAL,4,1,7,0,,5,5.0,2,2.0,6.3,0,,1,25.0,0,39.6,17.0,2022,241
Jake Ferguson,DAL,1,1,7,0,,-5,-5.0,12,12.0,-5.0,0,,0,0.0,0,95.8,17.0,2022,241
Peyton Hendershot,DAL,1,0,0,0,,0,,0,,18.0,0,,1,100.0,1,0.0,17.0,2022,241
Robert Woods,TEN,9,5,39,1,4.0,30,6.0,9,1.8,8.0,0,,1,11.1,1,63.9,17.0,2022,241
Treylon Burks,TEN,8,4,66,0,3.0,48,12.0,18,4.5,15.3,1,4.0,1,12.5,0,78.1,17.0,2022,241
Chigoziem Okonkwo,TEN,4,3,24,0,1.0,4,1.3,20,6.7,3.5,0,,0,0.0,0,89.6,17.0,2022,241
Hassan Haskins,TEN,3,2,13,0,1.0,-2,-1.0,15,7.5,-2.3,0,,1,33.3,0,75.7,17.0,2022,241
Austin Hooper,TEN,6,1,6,0,,5,5.0,1,1.0,5.7,0,,0,0.0,0,39.6,17.0,2022,241
Racey McMath,TEN,2,1,39,0,1.0,36,36.0,3,3.0,18.0,0,,0,0.0,0,95.8,17.0,2022,241
Geoff Swaim,TEN,1,1,4,0,,1,1.0,3,3.0,1.0,0,,0,0.0,0,83.3,17.0,2022,241
Jonathan Ward,TEN,1,1,4,0,0.0,3,3.0,1,1.0,3.0,0,,0,0.0,0,83.3,17.0,2022,241
Nick Westbrook-Ikhine,TEN,3,1,4,0,,4,4.0,0,0.0,19.7,0,,0,0.0,0,42.4,17.0,2022,241
Julius Chestnut,TEN,1,1,33,0,1.0,-2,-2.0,35,35.0,-2.0,1,1.0,0,0.0,0,118.7,17.0,2022,241
