Quarter,Time,Tm,Detail,CIN,TEN,week,year,game_id
1.0,10:52,Titans,Tony Pollard 3 yard rush (Nick Folk kick),0,7,15.0,2024,211
,6:36,Bengals,Chase Brown 6 yard pass from Joe Burrow (Cade York kick),7,7,15.0,2024,211
,3:58,Titans,Tyjae Spears 1 yard rush (Nick Folk kick),7,14,15.0,2024,211
2.0,5:13,Bengals,Sam Hubbard 2 yard pass from Joe Burrow (Cade York kick),14,14,15.0,2024,211
,1:12,Bengals,Tee Higgins 38 yard pass from Joe Burrow (Cade York kick),21,14,15.0,2024,211
,0:02,Bengals,Cade York 21 yard field goal,24,14,15.0,2024,211
3.0,7:24,Bengals,Geno Stone 39 yard interception return (Cade York kick),31,14,15.0,2024,211
4.0,6:50,Titans,Tyjae Spears 17 yard pass from Mason Rudolph (Nick Folk kick),31,21,15.0,2024,211
,1:09,Bengals,Chase Brown 5 yard rush (Cade York kick failed),37,21,15.0,2024,211
,0:00,Titans,Josh Whyle 13 yard pass from Mason Rudolph,37,27,15.0,2024,211
