Quarter,Time,Tm,Detail,BUF,DET,week,year,game_id
1.0,10:56,Bills,Josh Allen 1 yard rush (Tyler Bass kick),7,0,15.0,2024,217
,2:01,Bills,Josh Allen 4 yard rush (Tyler Bass kick),14,0,15.0,2024,217
2.0,13:36,Lions,Tim Patrick 12 yard pass from Jared Goff (Jake Bates kick),14,7,15.0,2024,217
,8:15,Bills,James Cook 6 yard rush (Tyler Bass kick),21,7,15.0,2024,217
,3:01,Lions,Dan Skipper 9 yard pass from Jared Goff (Jake Bates kick),21,14,15.0,2024,217
3.0,13:11,Bills,James Cook 41 yard rush (Tyler Bass kick),28,14,15.0,2024,217
,3:31,Bills,Khalil Shakir 3 yard pass from Josh Allen (Tyler Bass kick),35,14,15.0,2024,217
,1:41,Lions,Amon-Ra St. Brown 66 yard pass from Jared Goff (Jake Bates kick),35,21,15.0,2024,217
4.0,14:02,Bills,Tyler Bass 50 yard field goal,38,21,15.0,2024,217
,12:00,Lions,Jahmyr Gibbs 12 yard pass from Jared Goff (Jake Bates kick),38,28,15.0,2024,217
,11:51,Bills,Ray Davis 5 yard pass from Josh Allen (Tyler Bass kick),45,28,15.0,2024,217
,8:02,Lions,Jahmyr Gibbs 1 yard rush (Jake Bates kick),45,35,15.0,2024,217
,2:03,Bills,Tyler Bass 41 yard field goal,48,35,15.0,2024,217
,0:12,Lions,Jameson Williams 3 yard pass from Jared Goff (Jake Bates kick),48,42,15.0,2024,217
