Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Dameon Pierce,HOU,22,78,1,4.0,36,1.6,42,1.9,1,22.0,14.0,2022,199
Jeff Driskel,HOU,7,36,0,2.0,13,1.9,23,3.3,0,,14.0,2022,199
Eno Benjamin,HOU,3,1,0,,1,0.3,0,0.0,0,,14.0,2022,199
Rex Burkhead,HOU,2,-3,0,,-3,-1.5,0,0.0,0,,14.0,2022,199
Davis Mills,HOU,1,2,0,0.0,2,2.0,0,0.0,0,,14.0,2022,199
Dare Ogunbowale,HOU,1,-3,0,,-3,-3.0,0,0.0,0,,14.0,2022,199
Amari Rodgers,HOU,1,3,0,0.0,3,3.0,0,0.0,0,,14.0,2022,199
Ezekiel Elliott,DAL,15,62,1,3.0,20,1.3,42,2.8,1,15.0,14.0,2022,199
Tony Pollard,DAL,10,42,1,5.0,19,1.9,23,2.3,1,10.0,14.0,2022,199
Dak Prescott,DAL,6,23,0,2.0,17,2.8,6,1.0,0,,14.0,2022,199
