Quarter,Time,Tm,Detail,SEA,DET,week,year,game_id
1.0,3:11,Lions,David Montgomery 1 yard rush (Jake Bates kick),0,7,4.0,2024,64
2.0,14:58,Lions,Jahmyr Gibbs 3 yard rush (Jake Bates kick),0,14,4.0,2024,64
,10:08,Seahawks,Kenneth Walker III 1 yard rush (Jason Myers kick),7,14,4.0,2024,64
,5:11,Lions,Jahmyr Gibbs 1 yard rush (Jake Bates kick),7,21,4.0,2024,64
3.0,9:46,Seahawks,AJ Barner 9 yard pass from Geno Smith (Jason Myers kick),14,21,4.0,2024,64
,6:57,Lions,Jared Goff 7 yard pass from Amon-Ra St. Brown (Jake Bates kick),14,28,4.0,2024,64
,3:03,Seahawks,Kenneth Walker III 1 yard rush (pass failed),20,28,4.0,2024,64
,2:52,Lions,Jameson Williams 70 yard pass from Jared Goff (Jake Bates kick),20,35,4.0,2024,64
4.0,14:48,Seahawks,Kenneth Walker III 21 yard rush (Jason Myers kick),27,35,4.0,2024,64
,5:23,Lions,Amon-Ra St. Brown 8 yard pass from Jared Goff (Jake Bates kick),27,42,4.0,2024,64
,2:01,Seahawks,"Safety, Jared Goff sacked in end zone by Dre'Mont Jones",29,42,4.0,2024,64
