Quarter,Time,Tm,Detail,NOR,ATL,week,year,game_id
1.0,11:13,Falcons,KhaDarel Hodge fumble recovery in end zone (Younghoe Koo kick),0,7,4.0,2024,50
,6:39,Saints,Taysom Hill 2 yard rush (Blake Grupe kick),7,7,4.0,2024,50
2.0,13:42,Saints,Taysom Hill 5 yard rush (Blake Grupe kick),14,7,4.0,2024,50
,9:57,Falcons,Younghoe Koo 53 yard field goal,14,10,4.0,2024,50
,7:54,Falcons,Troy Andersen 47 yard interception return (Younghoe Koo kick),14,17,4.0,2024,50
3.0,6:46,Falcons,Younghoe Koo 44 yard field goal,14,20,4.0,2024,50
,1:03,Saints,Blake Grupe 43 yard field goal,17,20,4.0,2024,50
4.0,10:09,Falcons,Younghoe Koo 42 yard field goal,17,23,4.0,2024,50
,1:00,Saints,Alvin Kamara 1 yard rush (Blake Grupe kick),24,23,4.0,2024,50
,0:02,Falcons,Younghoe Koo 58 yard field goal,24,26,4.0,2024,50
