Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Kirk Cousins,MIN,1,1,2.0,2023,17
Alexander Mattison,MIN,1,1,2.0,2023,17
Justin Jefferson,MIN,1,1,2.0,2023,17
Jordan Addison,MIN,0,0,2.0,2023,17
T.J. Hockenson,MIN,0,0,2.0,2023,17
K.J. Osborn,MIN,0,0,2.0,2023,17
Josh Oliver,MIN,0,0,2.0,2023,17
Ty Chandler,MIN,0,0,2.0,2023,17
Jalen Hurts,PHI,0,0,2.0,2023,17
D'Andre Swift,PHI,0,0,2.0,2023,17
Boston Scott,PHI,0,0,2.0,2023,17
Rashaad Penny,PHI,0,0,2.0,2023,17
DeVonta Smith,PHI,0,0,2.0,2023,17
A.J. Brown,PHI,0,0,2.0,2023,17
Dallas Goedert,PHI,0,0,2.0,2023,17
