Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Jacoby Brissett,NWE,15,24,121,0,0,1,1,17,75.2,1.0,2024,7
Rhamondre Stevenson,NWE,0,0,0,0,0,0,0,0,,1.0,2024,7
Antonio Gibson,NWE,0,0,0,0,0,0,0,0,,1.0,2024,7
Austin Hooper,NWE,0,0,0,0,0,0,0,0,,1.0,2024,7
Tyquan Thornton,NWE,0,0,0,0,0,0,0,0,,1.0,2024,7
K.J. Osborn,NWE,0,0,0,0,0,0,0,0,,1.0,2024,7
Hunter Henry,NWE,0,0,0,0,0,0,0,0,,1.0,2024,7
Demario Douglas,NWE,0,0,0,0,0,0,0,0,,1.0,2024,7
Ja'Lynn Polk,NWE,0,0,0,0,0,0,0,0,,1.0,2024,7
Joe Burrow,CIN,21,29,164,0,0,3,10,28,86.0,1.0,2024,7
Zack Moss,CIN,0,0,0,0,0,0,0,0,,1.0,2024,7
Chase Brown,CIN,0,0,0,0,0,0,0,0,,1.0,2024,7
Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,1.0,2024,7
Andrei Iosivas,CIN,0,0,0,0,0,0,0,0,,1.0,2024,7
Tanner Hudson,CIN,0,0,0,0,0,0,0,0,,1.0,2024,7
Mike Gesicki,CIN,0,0,0,0,0,0,0,0,,1.0,2024,7
Trenton Irwin,CIN,0,0,0,0,0,0,0,0,,1.0,2024,7
Charlie Jones,CIN,0,0,0,0,0,0,0,0,,1.0,2024,7
