Quarter,Time,Tm,Detail,GNB,PHI,week,year,game_id
1.0,8:26,Packers,Brayden Narveson 31 yard field goal,3,0,1.0,2024,2
,3:01,Packers,Brayden Narveson 23 yard field goal,6,0,1.0,2024,2
2.0,12:38,Eagles,Saquon Barkley 18 yard pass from Jalen Hurts (Jake Elliott kick),6,7,1.0,2024,2
,10:16,Packers,Jayden Reed 33 yard rush (run failed),12,7,1.0,2024,2
,5:34,Eagles,Saquon Barkley 11 yard rush (Jake Elliott kick),12,14,1.0,2024,2
,5:11,Packers,Jayden Reed 70 yard pass from Jordan Love (Brayden Narveson kick),19,14,1.0,2024,2
,0:00,Eagles,Jake Elliott 38 yard field goal,19,17,1.0,2024,2
3.0,14:09,Eagles,A.J. Brown 67 yard pass from Jalen Hurts (Jake Elliott kick),19,24,1.0,2024,2
,11:55,Packers,Christian Watson 2 yard pass from Jordan Love (Brayden Narveson kick),26,24,1.0,2024,2
,4:26,Eagles,Saquon Barkley 2 yard rush (Jake Elliott kick),26,31,1.0,2024,2
4.0,7:52,Packers,Brayden Narveson 26 yard field goal,29,31,1.0,2024,2
,0:27,Eagles,Jake Elliott 21 yard field goal,29,34,1.0,2024,2
