Quarter,Time,Tm,Detail,DEN,SEA,week,year,game_id
1.0,12:36,Broncos,Wil Lutz 35 yard field goal,3,0,1.0,2024,11
,2:41,Seahawks,Jason Myers 50 yard field goal,3,3,1.0,2024,11
2.0,11:22,Broncos,"Safety, Anthony Bradford offensive holding in end zone",5,3,1.0,2024,11
,8:45,Broncos,Wil Lutz 30 yard field goal,8,3,1.0,2024,11
,5:55,Seahawks,Geno Smith 34 yard rush (pass failed),8,9,1.0,2024,11
,4:24,Broncos,"Safety, Zach Charbonnet tackled in end zone by Jonathon Cooper and Zach Allen",10,9,1.0,2024,11
,0:02,Broncos,Wil Lutz 45 yard field goal,13,9,1.0,2024,11
3.0,10:44,Seahawks,Kenneth Walker III 23 yard rush (Jason Myers kick),13,16,1.0,2024,11
,4:09,Seahawks,Jason Myers 28 yard field goal,13,19,1.0,2024,11
4.0,14:54,Seahawks,Zach Charbonnet 30 yard pass from Geno Smith (Jason Myers kick),13,26,1.0,2024,11
,2:09,Broncos,Bo Nix 4 yard rush (Wil Lutz kick),20,26,1.0,2024,11
