Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
CeeDee Lamb,DAL,10,5,61,0,2.0,29,5.8,32,6.4,10.7,2,2.5,1,10.0,0,69.2,1.0,2024,13
Brandin Cooks,DAL,7,4,40,1,2.0,35,8.8,5,1.3,11.3,0,,0,0.0,0,113.1,1.0,2024,13
Jake Ferguson,DAL,5,3,15,0,,0,0.0,15,5.0,7.2,0,,0,0.0,0,64.6,1.0,2024,13
Ezekiel Elliott,DAL,2,2,9,0,1.0,-4,-2.0,13,6.5,-2.0,1,2.0,0,0.0,0,85.4,1.0,2024,13
Hunter Luepke,DAL,2,2,18,0,1.0,-3,-1.5,21,10.5,-1.5,0,,0,0.0,0,104.2,1.0,2024,13
Jalen Brooks,DAL,1,1,18,0,1.0,9,9.0,9,9.0,9.0,1,1.0,0,0.0,0,118.7,1.0,2024,13
Jalen Tolbert,DAL,2,1,12,0,1.0,12,12.0,0,0.0,7.5,0,,0,0.0,0,68.7,1.0,2024,13
Rico Dowdle,DAL,1,1,6,0,0.0,1,1.0,5,5.0,1.0,0,,0,0.0,0,91.7,1.0,2024,13
KaVontae Turpin,DAL,1,0,0,0,,0,,0,,14.0,0,,1,100.0,0,39.6,1.0,2024,13
Jerome Ford,CLE,7,6,25,0,0.0,-1,-0.2,26,4.3,2.6,0,,0,0.0,0,81.5,1.0,2024,13
David Njoku,CLE,5,4,44,0,1.0,16,4.0,28,7.0,4.2,0,,1,20.0,0,103.3,1.0,2024,13
Jerry Jeudy,CLE,8,3,25,1,2.0,21,7.0,4,1.3,14.5,0,,0,0.0,0,85.9,1.0,2024,13
Elijah Moore,CLE,6,3,9,0,1.0,4,1.3,5,1.7,3.7,0,,2,33.3,2,16.7,1.0,2024,13
Jordan Akins,CLE,4,3,27,0,1.0,19,6.3,8,2.7,6.3,0,,0,0.0,0,92.7,1.0,2024,13
Pierre Strong,CLE,3,2,20,0,1.0,-6,-3.0,26,13.0,-1.0,1,2.0,1,33.3,0,85.4,1.0,2024,13
Amari Cooper,CLE,9,2,16,0,2.0,11,5.5,5,2.5,18.9,0,,1,11.1,0,39.6,1.0,2024,13
Cedric Tillman,CLE,1,1,3,0,,3,3.0,0,0.0,3.0,0,,0,0.0,0,79.2,1.0,2024,13
