#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,11:40,PHI 10,3,0:54,-5,Interception,1,Eagles,1.0,2024,2
2,1,8:26,PHI 16,3,1:20,-2,Fumble,1,Eagles,1.0,2024,2
3,1,3:01,PHI 30,11,5:23,70,Touchdown,1,Eagles,1.0,2024,2
4,2,10:16,PHI 30,9,4:42,70,Touchdown,1,Eagles,1.0,2024,2
5,2,5:11,PHI 23,15,5:11,57,Field Goal,1,Eagles,1.0,2024,2
6,3,15:00,PHI 30,2,0:51,70,Touchdown,1,Eagles,1.0,2024,2
7,3,11:55,PHI 30,3,1:29,-4,Punt,1,Eagles,1.0,2024,2
8,3,8:47,PHI 32,3,1:26,8,Punt,1,Eagles,1.0,2024,2
9,3,6:08,GNB 24,4,1:42,24,Touchdown,1,Eagles,1.0,2024,2
10,3,0:17,PHI 33,7,2:24,53,Interception,1,Eagles,1.0,2024,2
11,4,7:52,PHI 30,16,7:25,67,Field Goal,1,Eagles,1.0,2024,2
