Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Greg Dortch,ARI,8,6,47,0,4.0,29,4.8,18,3.0,8.9,1,6.0,1,12.5,0,89.1,1.0,2024,4
Trey McBride,ARI,9,5,30,0,2.0,28,5.6,2,0.4,8.3,0,,1,11.1,0,62.3,1.0,2024,4
James Conner,ARI,4,3,33,0,1.0,-4,-1.3,37,12.3,-2.5,1,3.0,0,0.0,0,99.0,1.0,2024,4
Emari Demercado,ARI,2,2,26,0,1.0,1,0.5,25,12.5,0.5,0,,0,0.0,0,118.7,1.0,2024,4
Elijah Higgins,ARI,2,2,12,0,1.0,3,1.5,9,4.5,1.5,0,,0,0.0,0,91.7,1.0,2024,4
Trey Benson,ARI,1,1,5,0,0.0,-4,-4.0,9,9.0,-4.0,0,,0,0.0,0,87.5,1.0,2024,4
Michael Wilson,ARI,2,1,5,1,1.0,5,5.0,0,0.0,15.0,0,,1,50.0,0,95.8,1.0,2024,4
Marvin Harrison Jr.,ARI,3,1,4,0,,4,4.0,0,0.0,10.3,0,,1,33.3,0,42.4,1.0,2024,4
Keon Coleman,BUF,5,4,51,0,2.0,40,10.0,11,2.8,9.2,0,,0,0.0,0,109.2,1.0,2024,4
Khalil Shakir,BUF,3,3,42,1,2.0,12,4.0,30,10.0,4.0,1,3.0,0,0.0,0,158.3,1.0,2024,4
James Cook,BUF,3,3,32,0,1.0,1,0.3,31,10.3,0.3,0,,0,0.0,0,111.1,1.0,2024,4
Mack Hollins,BUF,2,2,25,1,2.0,24,12.0,1,0.5,12.0,0,,0,0.0,0,158.3,1.0,2024,4
Curtis Samuel,BUF,2,2,15,0,,3,1.5,12,6.0,1.5,0,,0,0.0,0,97.9,1.0,2024,4
Dalton Kincaid,BUF,2,1,11,0,1.0,5,5.0,6,6.0,0.5,0,,0,0.0,0,66.7,1.0,2024,4
Dawson Knox,BUF,2,1,23,0,1.0,6,6.0,17,17.0,9.5,0,,0,0.0,0,91.7,1.0,2024,4
Ray Davis,BUF,1,1,14,0,1.0,2,2.0,12,12.0,2.0,0,,0,0.0,0,118.7,1.0,2024,4
Marquez Valdes-Scantling,BUF,2,1,19,0,1.0,14,14.0,5,5.0,27.5,0,,0,0.0,0,83.3,1.0,2024,4
Ty Johnson,BUF,1,0,0,0,,0,,0,,3.0,0,,0,0.0,0,39.6,1.0,2024,4
