Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Budda Baker,ARI,0,5,3,60.0%,69.0,23.0,13.8,1.0,143.7,7.4,37.0,32.0,1,0,0,0.0,0,10,3,23.1%,1.0,2024,4
Starling Thomas,ARI,0,4,3,75.0%,54.0,18.0,13.5,0.0,116.7,22.5,49.0,5.0,0,0,0,0.0,0,3,0,0.0%,1.0,2024,4
Sean Murphy-Bunting,ARI,0,4,3,75.0%,23.0,7.7,5.8,0.0,88.5,5.0,14.0,9.0,0,0,0,0.0,0,5,0,0.0%,1.0,2024,4
Owen Pappoe,ARI,0,3,2,66.7%,15.0,7.5,5.0,0.0,78.5,-1.3,-4.0,19.0,0,1,0,0.0,1,4,0,0.0%,1.0,2024,4
Kei'Trel Clark,ARI,0,1,1,100.0%,12.0,12.0,12.0,0.0,116.7,6.0,6.0,6.0,0,0,0,1.0,1,3,0,0.0%,1.0,2024,4
Kyzir White,ARI,0,3,1,33.3%,35.0,35.0,11.7,0.0,78.5,3.3,7.0,28.0,1,0,1,0.0,1,11,0,0.0%,1.0,2024,4
Zaven Collins,ARI,0,1,1,100.0%,3.0,3.0,3.0,0.0,79.2,-6.0,-6.0,9.0,2,0,0,0.0,0,9,0,0.0%,1.0,2024,4
Mack Wilson,ARI,0,1,1,100.0%,12.0,12.0,12.0,0.0,116.7,1.0,1.0,11.0,1,0,0,0.0,0,9,0,0.0%,1.0,2024,4
Garrett Williams,ARI,0,2,1,50.0%,14.0,14.0,7.0,0.0,72.9,-1.0,2.0,12.0,0,0,0,0.0,0,3,0,0.0%,1.0,2024,4
Max Melton,ARI,0,1,1,100.0%,19.0,19.0,19.0,0.0,118.7,8.0,8.0,11.0,0,0,0,0.0,0,2,1,33.3%,1.0,2024,4
Jalen Thompson,ARI,0,1,1,100.0%,11.0,11.0,11.0,1.0,152.1,11.0,11.0,0.0,1,0,0,0.0,0,6,0,0.0%,1.0,2024,4
Roy Lopez,ARI,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,0,0.0%,1.0,2024,4
Dennis Gardeck,ARI,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,,1.0,2024,4
Xavier Thomas,ARI,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,,1.0,2024,4
Terrel Bernard,BUF,0,6,5,83.3%,32.0,6.4,5.3,0.0,88.9,1.5,15.0,17.0,1,0,0,0.0,0,11,1,8.3%,1.0,2024,4
Cameron Lewis,BUF,0,8,5,62.5%,33.0,6.6,4.1,0.0,71.4,7.4,21.0,12.0,4,0,0,0.0,0,10,1,9.1%,1.0,2024,4
Dorian Williams,BUF,0,5,4,80.0%,46.0,11.5,9.2,0.0,105.0,2.8,14.0,32.0,2,0,0,0.0,0,9,2,18.2%,1.0,2024,4
Rasul Douglas,BUF,0,4,2,50.0%,8.0,4.0,2.0,0.0,56.2,4.3,2.0,6.0,1,0,0,0.0,0,2,1,33.3%,1.0,2024,4
Ja'Marcus Ingram,BUF,0,3,2,66.7%,38.0,19.0,12.7,0.0,109.7,12.0,9.0,29.0,0,0,0,0.0,0,2,0,0.0%,1.0,2024,4
Christian Benford,BUF,0,3,1,33.3%,19.0,19.0,6.3,1.0,95.8,8.7,14.0,5.0,0,0,0,0.0,0,3,0,0.0%,1.0,2024,4
Taron Johnson,BUF,0,1,1,100.0%,8.0,8.0,8.0,0.0,100.0,6.0,6.0,2.0,0,0,0,0.0,0,1,0,0.0%,1.0,2024,4
Damar Hamlin,BUF,0,3,1,33.3%,12.0,12.0,4.0,0.0,46.5,9.3,3.0,9.0,1,0,0,0.0,0,4,0,0.0%,1.0,2024,4
Gregory Rousseau,BUF,0,2,0,0.0%,2.0,,1.0,0.0,39.6,0.0,-3.0,5.0,0,1,0,3.0,4,6,0,0.0%,1.0,2024,4
Von Miller,BUF,0,0,0,,,,,,,,,,0,1,0,1.0,2,2,0,0.0%,1.0,2024,4
A.J. Epenesa,BUF,0,0,0,,,,,,,,,,0,1,1,0.0,2,1,0,0.0%,1.0,2024,4
DaQuan Jones,BUF,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%,1.0,2024,4
Austin Johnson,BUF,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%,1.0,2024,4
Taylor Rapp,BUF,0,2,0,0.0%,8.0,,4.0,0.0,43.7,13.5,6.0,2.0,1,0,0,0.0,0,5,0,0.0%,1.0,2024,4
Kaiir Elam,BUF,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%,1.0,2024,4
