Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,year,week
1.0,Washington Commanders,1.0,2.0,1.0,,,,,,3.0,,0.0,,3.0,3.0,,,,21.0,21.0,2025,1
2.0,Indianapolis Colts,1.0,2.0,1.0,,,,,,3.0,,0.0,,3.0,3.0,4.0,4.0,,33.0,33.0,2025,1
3.0,Los Angeles Rams,1.0,1.0,1.0,,,,,,2.0,,0.0,,2.0,2.0,,,,14.0,14.0,2025,1
4.0,Jacksonville Jaguars,1.0,1.0,1.0,,,,,,2.0,,0.0,,2.0,2.0,4.0,4.0,,26.0,26.0,2025,1
5.0,Denver Broncos,1.0,1.0,1.0,,,,,,2.0,,0.0,,2.0,2.0,2.0,2.0,,20.0,20.0,2025,1
6.0,Green Bay Packers,1.0,1.0,2.0,,,,,,3.0,,0.0,,3.0,3.0,2.0,2.0,,27.0,27.0,2025,1
7.0,Las Vegas Raiders,1.0,1.0,1.0,,,,,,2.0,,0.0,,2.0,2.0,2.0,3.0,,20.0,20.0,2025,1
8.0,Arizona Cardinals,1.0,,2.0,,,,,,2.0,,0.0,,2.0,2.0,2.0,3.0,,20.0,20.0,2025,1
9.0,San Francisco 49ers,1.0,,2.0,,,,,,2.0,,0.0,,2.0,2.0,1.0,3.0,,17.0,17.0,2025,1
10.0,Houston Texans,1.0,,,,,,,,,,0.0,,,,3.0,3.0,,9.0,9.0,2025,1
11.0,Cincinnati Bengals,1.0,1.0,1.0,,,,,,2.0,,0.0,,2.0,2.0,1.0,1.0,,17.0,17.0,2025,1
12.0,Seattle Seahawks,1.0,1.0,,,,,,,1.0,,0.0,,1.0,1.0,2.0,2.0,,13.0,13.0,2025,1
13.0,Cleveland Browns,1.0,1.0,1.0,,,,,,2.0,,0.0,,1.0,2.0,1.0,2.0,,16.0,16.0,2025,1
14.0,Tampa Bay Buccaneers,1.0,,3.0,,,,,,3.0,,0.0,,2.0,3.0,1.0,2.0,,23.0,23.0,2025,1
15.0,New Orleans Saints,1.0,1.0,,,,,,,1.0,,0.0,,1.0,1.0,2.0,3.0,,13.0,13.0,2025,1
16.0,New England Patriots,1.0,,1.0,,,,,,1.0,,0.0,,1.0,1.0,2.0,3.0,,13.0,13.0,2025,1
17.0,Philadelphia Eagles,1.0,3.0,,,,,,,3.0,,0.0,,3.0,3.0,1.0,1.0,,24.0,24.0,2025,1
18.0,Tennessee Titans,1.0,,,,,,,,,,0.0,,,,4.0,4.0,,12.0,12.0,2025,1
19.0,Los Angeles Chargers,1.0,,3.0,,,,,,3.0,,0.0,,3.0,3.0,2.0,2.0,,27.0,27.0,2025,1
20.0,New York Giants,1.0,,,,,,,,,,0.0,,,,2.0,2.0,,6.0,6.0,2025,1
21.0,Atlanta Falcons,1.0,1.0,1.0,,,,,,2.0,,0.0,,2.0,2.0,2.0,3.0,,20.0,20.0,2025,1
22.0,Minnesota Vikings,1.0,1.0,2.0,,,,,,3.0,1.0,2.0,,1.0,1.0,2.0,2.0,,27.0,27.0,2025,1
23.0,Dallas Cowboys,1.0,2.0,,,,,,,2.0,,0.0,,2.0,2.0,2.0,2.0,,20.0,20.0,2025,1
24.0,Carolina Panthers,1.0,,1.0,,,,,,1.0,,0.0,,1.0,1.0,1.0,1.0,,10.0,10.0,2025,1
25.0,Kansas City Chiefs,1.0,1.0,1.0,,,,,,2.0,,1.0,,,1.0,3.0,3.0,,21.0,21.0,2025,1
26.0,Detroit Lions,1.0,,1.0,,,,,,1.0,,0.0,,1.0,1.0,2.0,2.0,,13.0,13.0,2025,1
27.0,Chicago Bears,1.0,1.0,1.0,,,,1.0,,3.0,,0.0,,3.0,3.0,1.0,2.0,,24.0,24.0,2025,1
28.0,Pittsburgh Steelers,1.0,,4.0,,,,,,4.0,,0.0,,4.0,4.0,2.0,2.0,,34.0,34.0,2025,1
29.0,Miami Dolphins,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,8.0,8.0,2025,1
30.0,New York Jets,1.0,3.0,1.0,,,,,,4.0,,2.0,,2.0,2.0,2.0,2.0,,32.0,32.0,2025,1
31.0,Buffalo Bills,1.0,3.0,2.0,,,,,,5.0,,3.0,,2.0,2.0,3.0,3.0,,41.0,41.0,2025,1
32.0,Baltimore Ravens,1.0,3.0,2.0,,,,,,5.0,,0.0,,4.0,5.0,2.0,2.0,,40.0,40.0,2025,1
,Avg Team,,1.0,1.2,,,,,,2.2,0.1,0.3,0.0,1.8,1.9,1.9,2.2,,20.7,20.7,2025,1
,League Total,,31.0,38.0,,,,1.0,,70.0,2.0,9.0,0.0,57.0,61.0,60.0,70.0,,661.0,20.7,2025,1
,Avg Tm/G,,0.97,1.19,,,,0.03,,2.19,0.06,0.28,0.0,1.78,1.91,1.88,2.19,,20.7,,2025,1
