Quarter,Time,Tm,Detail,NYG,GNB,week,year,game_id
1.0,11:05,Packers,Mason Crosby 46 yard field goal,0,3,5.0,2022,66
,3:19,Packers,Allen Lazard 4 yard pass from Aaron Rodgers (Mason Crosby kick),0,10,5.0,2022,66
,0:09,Giants,Graham Gano 48 yard field goal,3,10,5.0,2022,66
2.0,7:30,Packers,Marcedes Lewis 2 yard pass from Aaron Rodgers (Mason Crosby kick),3,17,5.0,2022,66
,1:15,Giants,Daniel Bellinger 2 yard rush (Graham Gano kick),10,17,5.0,2022,66
,0:00,Packers,Mason Crosby 48 yard field goal,10,20,5.0,2022,66
3.0,7:57,Giants,Graham Gano 37 yard field goal,13,20,5.0,2022,66
4.0,10:08,Giants,Gary Brightwell 2 yard rush (Graham Gano kick),20,20,5.0,2022,66
,6:08,Giants,Saquon Barkley 2 yard rush (Graham Gano kick),27,20,5.0,2022,66
,0:11,Packers,"Safety, Safety, Jamie Gillan tackled in end zone by Josiah Deguara",27,22,5.0,2022,66
