Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Latavius Murray,DEN,8,34,0,3.0,24,3.0,10,1.3,0,,16.0,2022,238
Chase Edmonds,DEN,6,31,0,1.0,20,3.3,11,1.8,0,,16.0,2022,238
Marlon Mack,DEN,4,22,0,1.0,18,4.5,4,1.0,1,4.0,16.0,2022,238
Russell Wilson,DEN,2,17,0,2.0,16,8.0,1,0.5,0,,16.0,2022,238
Cam Akers,LAR,23,118,3,8.0,68,3.0,50,2.2,6,3.8,16.0,2022,238
Kyren Williams,LAR,6,18,0,1.0,13,2.2,5,0.8,0,,16.0,2022,238
Malcolm Brown,LAR,2,19,0,2.0,8,4.0,11,5.5,1,2.0,16.0,2022,238
Baker Mayfield,LAR,2,2,0,0.0,2,1.0,0,0.0,0,,16.0,2022,238
Brandon Powell,LAR,2,3,0,0.0,3,1.5,0,0.0,0,,16.0,2022,238
Bryce Perkins,LAR,1,-2,0,,-2,-2.0,0,0.0,0,,16.0,2022,238
