Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Russell Wilson,DEN,0,0,4.0,2023,53
Jaleel McLaughlin,DEN,0,0,4.0,2023,53
Samaje Perine,DEN,0,0,4.0,2023,53
Jerry Jeudy,DEN,0,0,4.0,2023,53
Marvin Mims,DEN,0,0,4.0,2023,53
Courtland Sutton,DEN,0,0,4.0,2023,53
Lil'Jordan Humphrey,DEN,0,0,4.0,2023,53
Chris Manhertz,DEN,0,0,4.0,2023,53
Javonte Williams,DEN,0,0,4.0,2023,53
Nate Adkins,DEN,0,0,4.0,2023,53
Brandon Johnson,DEN,0,0,4.0,2023,53
Adam Trautman,DEN,0,0,4.0,2023,53
Justin Fields,CHI,1,1,4.0,2023,53
Khalil Herbert,CHI,0,0,4.0,2023,53
Tyler Scott,CHI,0,0,4.0,2023,53
Roschon Johnson,CHI,0,0,4.0,2023,53
Velus Jones Jr.,CHI,0,0,4.0,2023,53
Cole Kmet,CHI,0,0,4.0,2023,53
D.J. Moore,CHI,0,0,4.0,2023,53
Darnell Mooney,CHI,0,0,4.0,2023,53
Equanimeous St. Brown,CHI,0,0,4.0,2023,53
Robert Tonyan,CHI,0,0,4.0,2023,53
Marcedes Lewis,CHI,0,0,4.0,2023,53
