Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Daniel Jones,NYG,21,35,228,1,0,3,18,44,88.7,12.0,2022,166
Saquon Barkley,NYG,0,0,0,0,0,0,0,0,,12.0,2022,166
Gary Brightwell,NYG,0,0,0,0,0,0,0,0,,12.0,2022,166
Matt Breida,NYG,0,0,0,0,0,0,0,0,,12.0,2022,166
Darius Slayton,NYG,0,0,0,0,0,0,0,0,,12.0,2022,166
Richie James,NYG,0,0,0,0,0,0,0,0,,12.0,2022,166
Isaiah Hodgins,NYG,0,0,0,0,0,0,0,0,,12.0,2022,166
Chris Myarick,NYG,0,0,0,0,0,0,0,0,,12.0,2022,166
Lawrence Cager,NYG,0,0,0,0,0,0,0,0,,12.0,2022,166
Tanner Hudson,NYG,0,0,0,0,0,0,0,0,,12.0,2022,166
Dak Prescott,DAL,21,30,261,2,2,0,0,30,91.1,12.0,2022,166
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,12.0,2022,166
Tony Pollard,DAL,0,0,0,0,0,0,0,0,,12.0,2022,166
CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,12.0,2022,166
Peyton Hendershot,DAL,0,0,0,0,0,0,0,0,,12.0,2022,166
Michael Gallup,DAL,0,0,0,0,0,0,0,0,,12.0,2022,166
Jake Ferguson,DAL,0,0,0,0,0,0,0,0,,12.0,2022,166
Dalton Schultz,DAL,0,0,0,0,0,0,0,0,,12.0,2022,166
