Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,week,year,game_id
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,,,
Marcus Williams,BAL,1,33,0,33,1,0.0,12,10,2,0,0,0,0,0,0,1.0,2022,10
Calais Campbell,BAL,0,0,0,0,0,1.0,4,2,2,1,1,0,0,0,0,1.0,2022,10
Justin Houston,BAL,0,0,0,0,0,1.0,3,3,0,1,2,0,0,0,0,1.0,2022,10
Patrick Queen,BAL,0,0,0,0,0,0.5,9,5,4,0,3,0,0,0,0,1.0,2022,10
Nnamdi Madubuike,BAL,0,0,0,0,0,0.5,5,2,3,1,1,0,0,0,0,1.0,2022,10
Chuck Clark,BAL,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,1,1.0,2022,10
Marlon Humphrey,BAL,0,0,0,0,0,0.0,7,5,2,0,1,1,0,0,0,1.0,2022,10
Malik Harrison,BAL,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0,1.0,2022,10
Kyle Fuller,BAL,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,1.0,2022,10
Kyle Hamilton,BAL,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,1.0,2022,10
Michael Pierce,BAL,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,1,1.0,2022,10
Jalyn Armour-Davis,BAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,1.0,2022,10
Odafe Oweh,BAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,1.0,2022,10
Brandon Stephens,BAL,0,0,0,0,2,0.0,2,1,1,0,0,0,0,0,0,1.0,2022,10
Josh Bynes,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,1.0,2022,10
Steven Means,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,1.0,2022,10
Del'Shawn Phillips,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,1.0,2022,10
Demarcus Robinson,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,1.0,2022,10
Josh Ross,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,1.0,2022,10
Geno Stone,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,1.0,2022,10
Damarion Williams,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,1.0,2022,10
Mike Davis,BAL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1.0,2022,10
Broderick Washington Jr.,BAL,0,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0,1.0,2022,10
D.J. Reed,NYJ,1,0,0,0,1,0.0,2,2,0,0,0,0,0,0,1,1.0,2022,10
Quincy Williams,NYJ,0,0,0,0,0,1.0,6,6,0,0,0,0,0,0,0,1.0,2022,10
Jacob Martin,NYJ,0,0,0,0,0,0.5,3,0,3,0,1,0,0,0,0,1.0,2022,10
Jermaine Johnson II,NYJ,0,0,0,0,0,0.5,2,1,1,0,1,0,0,0,0,1.0,2022,10
C.J. Mosley,NYJ,0,0,0,0,0,0.0,11,7,4,0,0,0,0,0,0,1.0,2022,10
Jordan Whitehead,NYJ,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0,1.0,2022,10
Michael Carter II,NYJ,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0,1.0,2022,10
Kwon Alexander,NYJ,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,1.0,2022,10
Micheal Clemons,NYJ,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,1.0,2022,10
John Franklin-Myers,NYJ,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,1.0,2022,10
Sauce Gardner,NYJ,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0,1.0,2022,10
Carl Lawson,NYJ,0,0,0,0,0,0.0,2,1,1,1,2,0,0,0,0,1.0,2022,10
Joe Flacco,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,1.0,2022,10
Justin Hardee,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,1.0,2022,10
Thomas Hennessy,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,1.0,2022,10
Lamarcus Joyner,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,1.0,2022,10
Sheldon Rankins,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,1.0,2022,10
Solomon Thomas,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,1.0,2022,10
Quinnen Williams,NYJ,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1.0,2022,10
Garrett Wilson,NYJ,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1.0,2022,10
