Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Chris Olave,NOR,6,4,81,0,4.0,53,13.3,28,7.0,13.2,0,,0,0.0,1,70.1,2.0,2024,21
Rashid Shaheed,NOR,4,4,96,1,3.0,61,15.3,35,8.8,15.3,0,,0,0.0,0,158.3,2.0,2024,21
Alvin Kamara,NOR,3,2,65,1,1.0,-3,-1.5,68,34.0,-1.3,0,,1,33.3,0,149.3,2.0,2024,21
Taysom Hill,NOR,1,1,1,0,0.0,-1,-1.0,2,2.0,-1.0,0,,0,0.0,0,79.2,2.0,2024,21
Adam Prentice,NOR,1,0,0,0,,0,,0,,3.0,0,,0,0.0,0,39.6,2.0,2024,21
Luke Schoonmaker,DAL,6,6,43,0,3.0,15,2.5,28,4.7,2.5,0,,0,0.0,0,96.5,2.0,2024,21
Jalen Tolbert,DAL,9,6,82,0,3.0,75,12.5,7,1.2,12.9,0,,0,0.0,0,95.6,2.0,2024,21
Rico Dowdle,DAL,5,4,29,0,0.0,10,2.5,19,4.8,5.8,0,,0,0.0,0,90.8,2.0,2024,21
CeeDee Lamb,DAL,7,4,90,1,3.0,33,8.3,57,14.3,13.6,1,4.0,0,0.0,1,101.8,2.0,2024,21
Brandin Cooks,DAL,2,2,19,0,2.0,17,8.5,2,1.0,8.5,0,,0,0.0,0,106.2,2.0,2024,21
Ezekiel Elliott,DAL,3,2,16,0,1.0,-14,-7.0,30,15.0,-4.7,0,,0,0.0,0,79.9,2.0,2024,21
KaVontae Turpin,DAL,4,2,4,0,,-7,-3.5,11,5.5,2.5,1,2.0,0,0.0,0,56.2,2.0,2024,21
Jalen Brooks,DAL,3,1,10,0,1.0,10,10.0,0,0.0,24.0,0,,0,0.0,1,4.2,2.0,2024,21
Deuce Vaughn,DAL,1,1,6,0,,-2,-2.0,8,8.0,-2.0,1,1.0,0,0.0,0,91.7,2.0,2024,21
Brevyn Spann-Ford,DAL,1,0,0,0,,0,,0,,6.0,0,,0,0.0,0,39.6,2.0,2024,21
