Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Khalil Shakir,BUF,5,5,54,0,3.0,43,8.6,11,2.2,8.6,0,,0,0.0,0,111.7,2.0,2024,17
Dalton Kincaid,BUF,4,4,33,0,,-8,-2.0,41,10.3,-2.0,2,2.0,0,0.0,0,101.0,2.0,2024,17
James Cook,BUF,1,1,17,1,1.0,-1,-1.0,18,18.0,-1.0,0,,0,0.0,0,158.3,2.0,2024,17
Ray Davis,BUF,1,1,-1,0,0.0,-9,-9.0,8,8.0,-9.0,0,,0,0.0,0,79.2,2.0,2024,17
Ty Johnson,BUF,2,1,33,0,1.0,31,31.0,2,2.0,17.5,0,,0,0.0,0,95.8,2.0,2024,17
Curtis Samuel,BUF,2,1,3,0,,-3,-3.0,6,6.0,11.0,0,,0,0.0,0,56.2,2.0,2024,17
Keon Coleman,BUF,1,0,0,0,,0,,0,,21.0,0,,0,0.0,0,39.6,2.0,2024,17
Marquez Valdes-Scantling,BUF,1,0,0,0,,0,,0,,29.0,0,,0,0.0,0,39.6,2.0,2024,17
Mack Hollins,BUF,1,0,0,0,,0,,0,,-6.0,0,,0,0.0,0,39.6,2.0,2024,17
De'Von Achane,MIA,7,7,69,1,5.0,7,1.0,62,8.9,1.0,0,,0,0.0,0,147.3,2.0,2024,17
Jonnu Smith,MIA,7,6,53,0,2.0,17,2.8,36,6.0,5.6,1,6.0,0,0.0,0,98.2,2.0,2024,17
Jaylen Waddle,MIA,4,4,41,0,2.0,29,7.3,12,3.0,7.3,0,,0,0.0,0,109.4,2.0,2024,17
Tyreek Hill,MIA,6,3,24,0,2.0,-1,-0.3,25,8.3,13.2,0,,0,0.0,0,60.4,2.0,2024,17
Jeff Wilson,MIA,2,2,12,0,,-1,-0.5,13,6.5,-0.5,0,,0,0.0,0,91.7,2.0,2024,17
Durham Smythe,MIA,1,1,8,0,,4,4.0,4,4.0,4.0,0,,0,0.0,0,100.0,2.0,2024,17
Grant Dubose,MIA,3,1,13,0,1.0,13,13.0,0,0.0,17.3,0,,0,0.0,1,8.3,2.0,2024,17
Robbie Chosen,MIA,4,1,5,0,,4,4.0,1,1.0,11.8,0,,0,0.0,1,0.0,2.0,2024,17
Julian Hill,MIA,2,0,0,0,,0,,0,,19.0,0,,1,50.0,0,39.6,2.0,2024,17
Braxton Berrios,MIA,1,0,0,0,,0,,0,,8.0,0,,0,0.0,0,39.6,2.0,2024,17
