Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Cooper Kupp,LAR,6,4,37,0,1.0,13,3.3,24,6.0,7.0,1,4.0,0,0.0,0,83.3,2.0,2024,28
Kyren Williams,LAR,5,4,27,0,1.0,-1,-0.3,28,7.0,-1.8,1,4.0,0,0.0,0,89.2,2.0,2024,28
Tutu Atwell,LAR,4,3,48,0,3.0,48,16.0,0,0.0,13.8,0,,1,25.0,0,114.6,2.0,2024,28
Tyler Johnson,LAR,3,2,20,0,1.0,7,3.5,13,6.5,3.7,0,,0,0.0,0,85.4,2.0,2024,28
Demarcus Robinson,LAR,4,2,50,0,1.0,50,25.0,0,0.0,14.0,0,,0,0.0,0,95.8,2.0,2024,28
Jordan Whittington,LAR,2,2,22,0,1.0,-4,-2.0,26,13.0,-2.0,0,,0,0.0,0,112.5,2.0,2024,28
Colby Parkinson,LAR,2,1,12,0,1.0,6,6.0,6,6.0,7.5,0,,1,50.0,0,68.7,2.0,2024,28
Ronnie Rivers,LAR,1,1,0,0,,-7,-7.0,7,7.0,-7.0,0,,0,0.0,0,79.2,2.0,2024,28
Trey McBride,ARI,6,6,67,0,2.0,33,5.5,34,5.7,5.5,1,6.0,0,0.0,0,113.2,2.0,2024,28
Marvin Harrison Jr.,ARI,8,4,130,2,4.0,101,25.3,29,7.3,18.8,0,,1,12.5,0,135.4,2.0,2024,28
Greg Dortch,ARI,2,2,11,0,,0,0.0,11,5.5,0.0,0,,0,0.0,0,89.6,2.0,2024,28
Michael Wilson,ARI,2,2,31,0,2.0,24,12.0,7,3.5,12.0,0,,0,0.0,0,118.7,2.0,2024,28
Trey Benson,ARI,1,1,7,0,0.0,-6,-6.0,13,13.0,-6.0,0,,0,0.0,0,95.8,2.0,2024,28
James Conner,ARI,1,1,2,0,0.0,-5,-5.0,7,7.0,-5.0,1,1.0,0,0.0,0,79.2,2.0,2024,28
Elijah Higgins,ARI,1,1,18,1,1.0,18,18.0,0,0.0,18.0,0,,0,0.0,0,158.3,2.0,2024,28
