Quarter,Time,Tm,Detail,NYG,WAS,week,year,game_id
1.0,5:24,Commanders,Austin Seibert 27 yard field goal,0,3,2.0,2024,25
,1:06,Giants,Devin Singletary 7 yard rush (Jamie Gillan kick failed),6,3,2.0,2024,25
2.0,10:37,Commanders,Austin Seibert 45 yard field goal,6,6,2.0,2024,25
,1:50,Commanders,Austin Seibert 26 yard field goal,6,9,2.0,2024,25
,0:08,Giants,Malik Nabers 4 yard pass from Daniel Jones (pass failed),12,9,2.0,2024,25
3.0,7:58,Commanders,Austin Seibert 27 yard field goal,12,12,2.0,2024,25
,2:47,Commanders,Austin Seibert 29 yard field goal,12,15,2.0,2024,25
4.0,11:32,Giants,Wan'Dale Robinson 7 yard pass from Daniel Jones (pass failed),18,15,2.0,2024,25
,7:12,Commanders,Austin Seibert 33 yard field goal,18,18,2.0,2024,25
,0:00,Commanders,Austin Seibert 30 yard field goal,18,21,2.0,2024,25
