Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
James Cook,BUF,11,78,2,5.0,23,2.1,55,5.0,1,11.0,2.0,2024,17
Ray Davis,BUF,9,29,0,2.0,10,1.1,19,2.1,0,,2.0,2024,17
Josh Allen,BUF,2,2,0,0.0,2,1.0,0,0.0,0,,2.0,2024,17
Mitchell Trubisky,BUF,2,-2,0,,-2,-1.0,0,0.0,0,,2.0,2024,17
Ty Johnson,BUF,1,-1,0,0.0,-1,-1.0,0,0.0,0,,2.0,2024,17
Khalil Shakir,BUF,1,2,0,0.0,1,1.0,1,1.0,0,,2.0,2024,17
De'Von Achane,MIA,22,96,0,4.0,50,2.3,46,2.1,1,22.0,2.0,2024,17
Jaylen Wright,MIA,5,4,0,,-4,-0.8,8,1.6,0,,2.0,2024,17
Alec Ingold,MIA,2,2,0,1.0,0,0.0,2,1.0,0,,2.0,2024,17
Tua Tagovailoa,MIA,2,17,0,2.0,17,8.5,0,0.0,0,,2.0,2024,17
Tyreek Hill,MIA,1,12,0,1.0,10,10.0,2,2.0,0,,2.0,2024,17
Skylar Thompson,MIA,1,4,0,0.0,4,4.0,0,0.0,0,,2.0,2024,17
Jaylen Waddle,MIA,1,4,0,0.0,3,3.0,1,1.0,0,,2.0,2024,17
